Gene Symbol,Chronic Module,Escape Module,Resolver Module,Intramodular Connectivity – Chronic,Intramodular Connectivity – Escape,Intramodular Connectivity – Resolver
AHCYL1,c6,e9,r9,0.857,0.346,0.336
AHNAK,c9,e2,r3,0.697,0.569,0.368
AHR,c10,e9,r5,0.227,0.449,0.287
AHSA1,c10,e5,r9,0.341,0.317,0.268
AIF1,c7,e9,r8,0.748,0.401,0.573
AIFM1,c10,e9,r9,0.336,0.410,0.590
AIM1,c2,e9,r5,0.643,0.497,0.247
AIM2,c10,e9,r9,0.465,0.471,0.432
AIMP1,c2,e9,r3,0.404,0.425,0.502
AIMP2,c5,e9,r9,0.322,0.330,0.561
AIP,c10,e9,r7,0.526,0.355,0.467
AK2,c10,e9,r9,0.709,0.394,0.380
AK6,c10,e1,r9,0.255,0.638,0.354
AKAP1,c10,e3,r5,0.224,0.659,0.269
AKAP10,c10,e9,r9,0.172,0.500,0.590
AKAP11,c8,e9,r9,0.135,0.563,0.460
AKAP5,c10,e3,r6,0.248,0.337,0.664
AKAP9,c10,e1,r3,0.232,0.757,0.396
AKIP1,c7,e2,r9,0.391,0.189,0.219
AKIRIN1,c10,e2,r5,0.261,0.465,0.307
AKR1A1,c5,e8,r9,0.550,0.398,0.351
AKR1B1,c10,e9,r9,0.577,0.365,0.767
AKR7A2,c3,e7,r9,0.446,0.435,0.458
AKT1,c5,e9,r9,0.465,0.406,0.216
AKT3,c1,e9,r9,0.343,0.418,0.538
AKTIP,c3,e5,r4,0.433,0.315,0.517
ALAD,c10,e9,r9,0.225,0.488,0.231
ALAS1,c10,e9,r3,0.367,0.487,0.231
ALDH2,c7,e2,r8,0.932,0.348,0.691
ALDH3A2,c10,e9,r9,0.269,0.566,0.680
ALDH9A1,c10,e5,r9,0.454,0.285,0.497
ALDOA,c10,e9,r7,0.683,0.436,0.218
ALG13,c4,e9,r3,0.533,0.549,0.505
ALG6,c10,e9,r9,0.443,0.505,0.680
ALG8,c1,e2,r2,0.352,0.157,0.496
ALG9,c2,e9,r6,0.428,0.382,0.486
ALKBH1,c10,e9,r9,0.374,0.588,0.293
ALOX5AP,c1,e1,r9,0.308,0.606,0.305
AMBRA1,c8,e9,r7,0.152,0.476,0.221
AMD1,c1,e5,r5,0.906,0.920,0.432
AMIGO2,c7,e4,r2,0.130,0.416,0.439
AMMECR1,c2,e9,r3,0.254,0.413,0.410
AMPD2,c10,e9,r8,0.209,0.619,0.193
AMZ2,c9,e4,r7,0.660,0.262,0.247
ANAPC15,c8,e9,r9,0.375,0.487,0.307
ANGEL2,c2,e2,r4,0.458,0.219,0.403
ANKHD1,c2,e1,r9,0.244,0.759,0.282
ANKMY2,c2,e9,r9,0.399,0.435,0.216
ANKRA2,c10,e9,r2,0.296,0.256,0.691
ANKRD11,c1,e9,r9,0.708,0.394,0.116
ANKRD12,c2,e3,r3,0.844,0.558,0.467
ANKRD17,c7,e9,r9,0.164,0.627,0.336
ANKRD27,c10,e2,r9,0.296,0.154,0.335
ANKRD40,c10,e5,r9,0.223,0.284,0.278
ANKS1A,c10,e9,r9,0.423,0.381,0.349
ANP32A,c6,e9,r9,0.511,0.471,0.423
ANP32E,c3,e5,r9,0.368,0.308,0.485
ANXA1,c1,e9,r3,0.376,0.282,0.226
ANXA2,c5,e9,r9,0.448,0.474,0.317
ANXA5,c10,e9,r7,0.539,0.428,0.251
ANXA6,c8,e8,r2,0.563,0.215,0.582
AP1G1,c10,e9,r1,0.266,0.352,0.512
AP1S2,c6,e9,r9,0.493,0.394,0.410
AP2B1,c10,e9,r9,0.461,0.520,0.368
AP2M1,c5,e9,r9,0.553,0.333,0.244
AP3M2,c8,e9,r5,0.118,0.386,0.185
AP5Z1,c10,e9,r6,0.223,0.587,0.419
APBA2,c10,e9,r5,0.281,0.474,0.228
APBB1IP,c10,e6,r9,0.220,0.634,0.298
APEH,c10,e9,r9,0.507,0.438,0.419
APEX1,c10,e9,r9,0.314,0.332,0.375
API5,c3,e2,r9,0.553,0.270,0.664
APITD1,c1,e9,r9,0.354,0.400,0.290
APOBEC3C,c6,e9,r9,0.705,0.402,0.540
APOBEC3F,c10,e9,r9,0.246,0.669,0.113
APOBEC3G,c4,e9,r9,0.484,0.630,0.728
APOBR,c9,e9,r7,0.591,0.438,0.206
APOL3,c10,e9,r9,0.293,0.570,0.632
APOM,c10,e2,r6,0.259,0.387,0.325
APPBP2,c3,e9,r9,0.563,0.550,0.351
APPL2,c4,e9,r9,0.546,0.416,0.182
APTX,c3,e9,r9,0.554,0.672,0.322
AQP3,c10,e9,r9,0.245,0.446,0.412
ARAF,c10,e9,r9,0.523,0.360,0.209
ARAP2,c1,e9,r3,0.313,0.617,0.558
ARCN1,c2,e9,r9,0.277,0.479,0.336
AREG,c1,e9,r5,0.356,0.401,0.450
AREL1,c3,e9,r4,0.419,0.360,0.402
ARF1,c10,e9,r3,0.402,0.320,0.142
ARF3,c1,e9,r9,0.241,0.612,0.221
ARF4,c10,e3,r5,0.440,0.536,0.220
ARF6,c8,e9,r5,0.660,0.611,0.303
ARFGAP2,c3,e9,r9,0.269,0.511,0.240
ARFGEF1,c8,e3,r3,0.114,0.478,0.338
ARFGEF2,c2,e9,r3,0.396,0.506,0.313
ARFIP1,c1,e9,r9,0.380,0.327,0.390
ARFIP2,c3,e9,r9,0.559,0.399,0.202
ARG2,c3,e9,r3,0.306,0.351,0.294
ARHGAP1,c5,e9,r9,0.377,0.456,0.264
ARHGAP15,c1,e9,r9,0.369,0.411,0.429
ARHGAP17,c2,e6,r9,0.454,0.504,0.282
ARHGAP25,c6,e9,r2,0.701,0.586,0.620
ARHGDIA,c8,e9,r9,0.413,0.332,0.077
ARHGEF18,c1,e2,r2,0.338,0.515,0.426
ARHGEF2,c10,e9,r2,0.259,0.325,0.538
ARHGEF3,c3,e9,r2,0.453,0.437,0.596
ARHGEF6,c9,e9,r9,0.661,0.456,0.444
ARHGEF7,c3,e1,r5,0.353,0.545,0.102
ARID1A,c10,e9,r9,0.229,0.622,0.238
ARID4A,c10,e9,r5,0.183,0.423,0.263
ARID4B,c2,e9,r3,0.715,0.336,0.631
ARID5A,c3,e4,r6,0.854,0.496,0.578
ARID5B,c3,e9,r9,0.524,0.503,0.210
ARIH1,c2,e4,r5,0.395,0.387,0.487
ARIH2,c10,e2,r9,0.227,0.403,0.249
ARL1,c10,e9,r3,0.487,0.343,0.288
ARL15,c6,e7,r3,0.600,0.336,0.471
ARL17B,c10,e9,r9,0.206,0.475,0.183
ARL4C,c1,e5,r5,0.535,0.408,0.474
ARL5A,c10,e9,r4,0.235,0.354,0.472
ARL6IP1,c10,e2,r9,0.534,0.684,0.597
ARL6IP4,c8,e9,r7,0.579,0.398,0.269
ARL6IP5,c10,e2,r2,0.478,0.335,0.597
ARL8B,c3,e9,r9,0.600,0.385,0.263
ARMC1,c10,e9,r3,0.247,0.653,0.264
ARMCX3,c10,e1,r9,0.238,0.920,0.353
ARMT1,c4,e9,r9,0.500,0.825,0.463
ARNTL,c7,e2,r5,0.125,0.375,0.303
ARPC1B,c8,e2,r2,0.688,0.340,0.667
ARPC4,c10,e7,r9,0.693,0.446,0.359
ARPC5,c1,e8,r2,0.490,0.392,0.595
ARPC5L,c10,e9,r3,0.372,0.580,0.327
ARPP19,c10,e9,r3,0.337,0.556,0.278
ARRB2,c10,e7,r1,0.444,0.144,0.689
ASAH1,c9,e7,r8,0.661,0.453,0.300
ASAP1,c10,e4,r3,0.226,0.529,0.353
ASB7,c10,e7,r9,0.258,0.324,0.199
ASB8,c3,e9,r9,0.591,0.403,0.199
ASCC1,c3,e9,r9,0.665,0.437,0.480
ASCC2,c10,e9,r9,0.345,0.356,0.600
ASCC3,c1,e9,r9,0.237,0.485,0.572
ASF1A,c4,e9,r9,0.789,0.716,0.440
ASH2L,c4,e9,r9,0.427,0.396,0.407
ASL,c10,e9,r1,0.442,0.410,0.369
ASMTL,c1,e2,r9,0.284,0.282,0.245
ASNS,c10,e9,r3,0.291,0.511,0.461
ASTE1,c10,e2,r3,0.186,0.326,0.386
ASUN,c10,e4,r3,0.520,0.706,0.328
ASXL1,c10,e9,r6,0.189,0.438,0.355
ASXL2,c1,e9,r9,0.361,0.546,0.377
ATAD2B,c1,e9,r3,0.243,0.529,0.543
ATF1,c1,e1,r9,0.239,0.817,0.568
ATF2,c2,e2,r9,0.491,0.630,0.301
ATF3,c10,e9,r5,0.214,0.434,0.546
ATF7,c10,e9,r9,0.198,0.475,0.328
ATF7IP2,c10,e9,r2,0.195,0.347,0.510
ATG13,c10,e9,r9,0.295,0.524,0.276
ATG14,c10,e9,r5,0.223,0.442,0.192
ATG2A,c2,e9,r5,0.779,0.405,0.311
ATG2B,c1,e9,r9,0.288,0.425,0.610
ATG3,c10,e2,r3,0.358,0.515,0.264
ATG4A,c3,e2,r9,0.394,0.356,0.380
ATG5,c3,e3,r9,0.344,0.541,0.332
ATG7,c4,e8,r5,0.373,0.710,0.105
ATG9A,c3,e9,r1,0.268,0.623,0.529
ATHL1,c1,e5,r5,0.514,0.134,0.294
ATIC,c8,e7,r2,0.648,0.452,0.503
ATM,c7,e9,r9,0.190,0.464,0.512
ATMIN,c10,e9,r9,0.200,0.357,0.629
ATOX1,c10,e9,r9,0.484,0.553,0.366
ATP10A,c1,e9,r2,0.245,0.437,0.558
ATP13A3,c8,e9,r3,0.178,1.000,0.471
ATP1A1,c10,e9,r5,0.201,0.592,0.092
ATP1B3,c8,e2,r6,0.128,0.403,0.683
ATP2A2,c10,e2,r9,0.273,0.913,0.398
ATP2A3,c1,e9,r9,0.283,0.531,0.304
ATP2B1,c1,e4,r3,0.488,0.667,0.712
ATP2B4,c6,e9,r2,0.601,0.647,0.644
ATP2C1,c10,e9,r3,0.275,0.348,0.353
ATP5A1,c5,e9,r9,0.758,0.571,0.623
ATP5C1,c10,e9,r9,0.446,0.312,0.370
ATP5F1,c10,e9,r9,0.456,0.287,0.653
ATP5G1,c10,e9,r9,0.310,0.495,0.321
ATP5G2,c10,e5,r1,0.568,0.137,0.426
ATP5G3,c5,e9,r9,0.757,0.482,0.801
ATP5I,c10,e9,r9,0.706,0.383,0.559
ATP5J,c10,e1,r9,0.361,0.413,0.564
ATP5J2,c3,e9,r4,0.716,0.369,0.498
ATP5L,c10,e9,r9,0.387,0.372,0.510
ATP5O,c10,e9,r9,0.557,0.353,0.611
ATP5S,c10,e9,r1,0.383,0.364,0.543
ATP5SL,c1,e2,r9,0.250,0.475,0.384
ATP6AP1,c1,e9,r9,0.275,0.414,0.315
ATP6AP2,c1,e2,r9,0.235,0.173,0.534
ATP6V0B,c10,e9,r9,0.417,0.351,0.202
ATP6V0D1,c10,e9,r7,0.501,0.315,0.307
ATP6V0E1,c4,e9,r9,0.756,0.416,0.410
ATP6V0E2,c7,e9,r9,0.397,0.648,0.367
ATP6V1A,c3,e9,r9,0.863,0.325,0.270
ATP6V1B2,c3,e2,r9,0.712,0.620,0.352
ATP6V1D,c3,e9,r4,0.636,0.403,0.627
ATP6V1E1,c3,e9,r9,0.706,0.473,0.315
ATP6V1G1,c8,e9,r6,0.380,0.427,0.352
ATP6V1H,c10,e4,r3,0.349,0.443,0.340
ATP8A1,c3,e2,r3,0.375,0.377,0.377
ATR,c10,e9,r3,0.242,0.318,0.490
ATRAID,c1,e9,r2,0.209,0.390,0.644
ATRX,c1,e9,r3,0.246,0.423,1.000
ATXN1,c1,e9,r9,0.366,0.560,0.457
ATXN10,c6,e9,r2,0.629,0.371,0.521
ATXN2,c4,e9,r3,0.657,0.517,0.324
ATXN3,c10,e9,r3,0.213,0.439,0.351
ATXN7,c1,e6,r5,0.742,0.273,0.249
ATXN7L3B,c3,e9,r9,0.558,0.334,0.480
AURKAIP1,c3,e9,r9,0.506,0.481,0.259
AUTS2,c4,e9,r9,0.553,0.606,0.222
AVEN,c10,e9,r9,0.276,0.694,0.297
AVL9,c1,e9,r3,0.330,0.470,0.214
AXIN1,c1,e9,r9,0.185,0.519,0.254
AZIN1,c10,e9,r9,0.329,0.533,0.320
B3GAT3,c10,e9,r9,0.342,0.503,0.200
B4GALT1,c1,e3,r5,0.351,0.413,0.682
B4GALT3,c3,e9,r9,0.941,0.389,0.515
B4GALT4,c8,e9,r9,0.120,0.426,0.137
B4GALT5,c10,e9,r9,0.353,0.378,0.410
B4GAT1,c5,e9,r9,0.379,0.366,0.308
BABAM1,c10,e9,r9,0.451,0.433,0.397
BAG2,c10,e4,r3,0.238,0.448,0.270
BANF1,c6,e9,r9,0.676,0.367,0.298
BANP,c3,e4,r1,0.547,0.316,0.474
BAP1,c8,e9,r9,0.131,0.388,0.109
BARD1,c3,e9,r9,0.468,0.288,0.256
BASP1,c7,e9,r8,0.852,0.388,0.638
BAZ1A,c8,e2,r9,0.192,1.000,0.397
BAZ1B,c2,e9,r9,0.296,0.429,0.272
BBIP1,c1,e2,r5,0.426,0.247,0.217
BBX,c10,e9,r3,0.215,0.432,0.307
BCAP31,c6,e9,r8,0.592,0.446,0.244
BCAS2,c1,e9,r5,0.532,0.606,0.700
BCCIP,c10,e9,r9,0.368,0.574,0.325
BCL11B,c10,e9,r3,0.214,0.460,0.411
BCL2,c1,e2,r9,0.316,0.257,0.229
BCL2A1,c10,e9,r8,0.360,0.445,0.510
BCL2L1,c10,e9,r9,0.265,0.448,0.288
BCL2L11,c10,e9,r6,0.244,0.684,0.483
BCL2L13,c1,e9,r9,0.458,0.354,0.306
BCL6,c1,e9,r5,0.311,0.341,0.432
BCLAF1,c1,e5,r5,0.524,0.431,0.389
BCOR,c4,e9,r3,0.692,0.444,0.247
BDH1,c4,e9,r9,0.518,0.483,0.176
BDH2,c2,e6,r3,0.236,0.326,0.223
BEGAIN,c10,e9,r3,0.170,0.379,0.195
BET1,c3,e9,r9,0.406,0.431,0.448
BET1L,c10,e9,r3,0.185,0.352,0.156
BEX1,c10,e9,r6,0.343,0.426,0.448
BEX4,c10,e2,r5,0.405,0.347,0.197
BFAR,c1,e9,r7,0.294,0.440,0.181
BFSP1,c10,e9,r3,0.319,0.347,0.417
BHLHE40,c1,e9,r5,0.379,0.536,0.794
BIN1,c5,e2,r9,0.879,0.252,0.369
BIN2,c8,e2,r2,0.451,0.411,0.612
BIRC2,c8,e2,r6,0.188,0.960,0.668
BIRC3,c8,e2,r6,0.181,0.766,0.710
BLCAP,c1,e9,r9,0.317,0.641,0.665
BLM,c3,e9,r9,0.367,0.609,0.195
BLMH,c10,e9,r3,0.409,0.416,0.278
BLOC1S1,c10,e9,r9,0.444,0.540,0.435
BLVRA,c8,e9,r2,0.671,0.451,0.427
BNIP2,c10,e9,r8,0.195,0.507,0.228
BNIP3,c10,e9,r3,0.257,0.430,0.540
BOP1,c10,e9,r3,0.286,0.413,0.169
BORA,c10,e9,r1,0.250,0.381,0.600
BPTF,c1,e9,r3,0.358,0.396,0.789
BRAF,c2,e5,r6,0.299,0.558,0.460
BRCC3,c10,e9,r9,0.551,0.419,0.232
BRD1,c2,e2,r3,0.262,0.548,0.232
BRD2,c10,e9,r5,0.300,0.370,0.561
BRD3,c8,e8,r9,0.112,0.590,0.452
BRD8,c10,e9,r9,0.207,0.557,0.477
BRE,c10,e9,r7,0.547,0.350,0.187
BRIX1,c10,e9,r4,0.146,0.389,0.348
BRPF1,c10,e2,r9,0.229,0.300,0.203
BRWD1,c10,e9,r9,0.206,0.514,0.188
BST2,c10,e9,r9,0.486,0.450,0.435
BTAF1,c2,e2,r1,0.236,0.687,0.456
BTBD1,c2,e9,r3,0.461,0.456,0.534
BTD,c10,e5,r5,0.173,0.280,0.191
BTG1,c1,e9,r5,0.401,0.538,0.691
BTG2,c1,e9,r5,0.591,0.432,0.642
BTG3,c1,e5,r5,0.393,0.212,0.148
BTN2A1,c8,e9,r9,0.115,0.432,0.488
BTN2A2,c1,e9,r9,0.399,0.494,0.250
BTN3A1,c10,e9,r2,0.182,0.561,0.588
BTN3A2,c1,e6,r2,0.318,0.438,0.700
BTN3A3,c1,e6,r2,0.430,0.887,0.598
BUB1B,c3,e9,r9,0.438,0.353,0.149
BUB3,c3,e9,r3,0.652,0.380,0.432
BUD31,c10,e3,r3,0.415,0.627,0.127
BZW2,c1,e2,r9,0.312,0.475,0.302
C10orf76,c10,e9,r9,0.258,0.392,0.311
C11orf49,c10,e9,r2,0.302,0.380,0.386
C11orf57,c3,e2,r9,0.611,0.318,0.303
C11orf58,c3,e2,r9,0.564,0.322,0.667
C11orf68,c3,e9,r3,0.488,0.321,0.230
C11orf95,c10,e8,r9,0.264,0.327,0.613
C12orf4,c10,e2,r9,0.326,0.178,0.360
C14orf1,c10,e9,r9,0.330,0.546,0.250
C14orf159,c10,e7,r9,0.532,0.482,0.460
C14orf2,c5,e9,r9,0.612,0.385,0.605
C16orf95,c10,e9,r5,0.238,0.437,0.153
C17orf62,c10,e9,r9,0.415,0.423,0.520
C17orf75,c3,e9,r9,0.625,0.332,0.445
C18orf25,c10,e9,r5,0.250,0.504,0.177
C19orf24,c7,e9,r7,0.237,0.395,0.319
C19orf54,c10,e9,r9,0.234,0.429,0.405
C19orf66,c1,e9,r3,0.204,0.511,0.327
C1GALT1,c2,e9,r9,0.395,0.461,0.405
C1orf123,c10,e9,r9,0.361,0.406,0.458
C1orf216,c1,e9,r9,0.171,0.470,0.373
C1orf27,c10,e5,r5,0.220,0.203,0.315
C1orf50,c10,e2,r9,0.587,0.228,0.254
C1orf95,c10,e4,r5,0.176,0.497,0.284
C1QBP,c10,e9,r9,0.348,0.337,0.472
C21orf59,c10,e1,r9,0.344,0.483,0.290
C21orf91,c10,e2,r7,0.446,0.515,0.170
C2CD3,c1,e9,r3,0.303,0.399,0.461
C2CD5,c1,e9,r3,0.224,0.566,0.462
C2orf42,c10,e9,r3,0.390,0.503,0.369
C2orf47,c3,e9,r9,0.435,0.339,0.332
C3orf18,c10,e7,r9,0.217,0.421,0.320
C4orf19,c10,e9,r5,0.200,0.427,0.217
C4orf27,c1,e9,r9,0.241,0.544,0.507
C5AR1,c7,e8,r8,0.919,0.357,0.738
C5orf15,c3,e9,r9,0.673,0.457,0.250
C5orf22,c3,e9,r9,0.947,0.396,0.464
C5orf30,c9,e9,r9,0.516,0.509,0.197
C5orf66,c7,e7,r8,0.264,0.537,0.226
C6orf106,c10,e9,r1,0.348,0.320,0.680
C6orf120,c10,e9,r9,0.316,0.425,0.210
C6orf47,c3,e9,r2,0.560,0.412,0.387
C6orf48,c10,e2,r5,0.375,0.425,0.436
C7orf26,c3,e9,r3,0.392,0.625,0.179
C7orf49,c10,e9,r7,0.397,0.316,0.256
C9orf114,c10,e9,r9,0.287,0.503,0.414
CA5B,c10,e9,r9,0.269,0.527,0.330
CA5BP1,c10,e9,r3,0.190,0.377,0.203
CAAP1,c1,e9,r3,0.297,0.450,0.415
CAB39,c10,e9,r9,0.275,0.417,0.560
CACNA2D2,c2,e9,r3,0.355,0.371,0.228
CACNB3,c10,e9,r3,0.238,0.354,0.181
CACYBP,c3,e9,r9,0.891,0.402,0.506
CALCOCO1,c10,e9,r9,0.235,0.696,0.267
CALCOCO2,c1,e9,r9,0.369,0.537,0.222
CALM3,c8,e7,r2,1.000,0.520,0.631
CALR,c7,e9,r7,0.327,0.579,0.439
CALU,c2,e9,r5,0.293,0.387,0.346
CAMK1D,c10,e9,r9,0.203,0.530,0.201
CAMK2N1,c2,e2,r9,0.417,0.360,0.134
CAMLG,c10,e2,r9,0.379,0.305,0.210
CAMTA2,c10,e9,r9,0.287,0.494,0.167
CAND1,c3,e1,r9,0.510,0.673,0.500
CAND2,c2,e2,r9,0.303,0.236,0.185
CANX,c8,e9,r9,0.230,0.404,0.425
CAP1,c8,e9,r9,0.508,0.505,0.611
CAPN2,c8,e2,r9,0.416,0.429,0.413
CAPNS1,c10,e9,r9,0.586,0.521,0.372
CAPRIN1,c10,e9,r9,0.303,0.496,0.686
CAPRIN2,c10,e9,r9,0.219,0.494,0.401
CAPZA2,c1,e9,r9,0.269,0.362,0.487
CAPZB,c8,e9,r9,0.681,0.406,0.637
CARD8,c1,e9,r9,0.396,0.367,0.605
CARHSP1,c10,e7,r7,0.511,0.556,0.466
CARS,c10,e1,r9,0.471,0.549,0.437
CARS2,c9,e9,r9,0.643,0.370,0.231
CASD1,c10,e9,r9,0.253,0.378,0.452
CASK,c10,e9,r3,0.203,0.434,0.489
CASP1,c8,e9,r2,0.606,0.482,0.625
CASP2,c10,e9,r2,0.380,0.360,0.569
CASP3,c10,e9,r1,0.369,0.458,0.407
CASP4,c10,e9,r9,0.687,0.492,0.399
CASP7,c5,e9,r9,0.466,0.357,0.447
CASP9,c10,e9,r9,0.259,0.469,0.206
CAST,c9,e7,r1,0.323,0.402,0.521
CAT,c6,e9,r2,0.517,0.355,0.531
CBFB,c10,e9,r9,0.349,0.472,0.432
CBLB,c10,e4,r3,0.220,0.600,0.345
CBX3,c5,e9,r9,0.546,0.562,0.729
CBX5,c8,e5,r9,0.487,0.614,0.747
CBX6,c3,e2,r9,0.386,0.327,0.214
CCBL2,c10,e1,r4,0.485,0.796,0.506
CCDC109B,c1,e9,r9,0.369,0.584,0.324
CCDC25,c3,e5,r2,0.459,0.262,0.502
CCDC28A,c3,e9,r9,0.414,0.345,0.474
CCDC47,c10,e9,r4,0.319,0.528,0.523
CCDC53,c1,e9,r9,0.232,0.530,0.676
CCDC59,c1,e4,r5,0.348,0.441,0.371
CCDC6,c7,e5,r9,0.225,0.386,0.290
CCDC69,c3,e9,r1,0.303,0.434,0.571
CCDC82,c10,e9,r9,0.422,0.387,0.128
CCDC9,c3,e9,r3,0.468,0.444,0.176
CCDC90B,c3,e5,r9,0.455,0.359,0.521
CCDC91,c10,e9,r3,0.345,0.487,0.389
CCDC93,c1,e2,r5,0.269,0.614,0.325
CCHCR1,c10,e9,r9,0.241,0.397,0.210
CCL4,c7,e9,r9,0.352,0.587,0.200
CCL5,c8,e5,r9,0.805,0.372,0.354
CCNB1IP1,c10,e2,r9,0.432,0.535,0.273
CCNC,c3,e9,r3,0.443,0.381,0.364
CCND3,c8,e2,r9,0.400,0.498,0.587
CCNG1,c2,e2,r9,0.311,0.382,0.168
CCNG2,c10,e1,r9,0.300,0.259,0.470
CCNH,c1,e2,r5,0.416,0.705,0.457
CCNJ,c1,e9,r3,0.570,0.443,0.286
CCNK,c10,e5,r5,0.216,0.288,0.349
CCNL1,c1,e9,r5,0.786,0.655,0.634
CCNL2,c1,e2,r9,0.419,0.388,0.161
CCNT1,c10,e9,r9,0.260,0.425,0.233
CCP110,c3,e2,r9,0.664,0.697,0.330
CCR5,c5,e9,r9,0.837,0.803,0.492
CCR6,c1,e3,r9,0.207,0.679,0.084
CCR7,c10,e2,r5,0.248,0.225,0.229
CCSER2,c8,e9,r3,0.222,0.851,0.308
CCT2,c2,e9,r5,0.448,0.342,0.307
CCT3,c5,e9,r9,0.516,0.422,0.664
CCT5,c3,e9,r9,0.541,0.372,0.653
CCT6A,c10,e9,r2,0.473,0.601,0.470
CCT7,c1,e9,r9,0.207,0.577,0.346
