Gene Symbol,Resolver Early vs Chronic Early (log2 fold change),Resolver Late vs Chronic Late (log2 fold change),Resolver Early vs Resolver Late (log2 fold change),Chronic Early vs Chronic Late (log2 fold change),Average Expression (log2),F-Value,Adjusted p-value (FDR)
SIRT1,-1.28,0.40,-1.70,-0.01,6.57,6.77,1.64E-02
VIPR1,0.27,0.85,-1.00,-0.42,4.43,6.71,1.71E-02
SDHD,0.37,-2.50,2.11,-0.76,5.66,6.71,1.71E-02
SLC26A6,0.77,0.40,-0.12,-0.49,5.81,6.69,1.71E-02
SACM1L,-0.21,-1.59,1.15,-0.23,7.17,6.69,1.71E-02
HCG26,0.79,-1.85,1.79,-0.85,7.48,6.68,1.71E-02
MRPL48,-1.86,0.00,-2.02,-0.17,6.67,6.67,1.71E-02
CPSF6,-0.72,-1.00,0.68,0.39,6.72,6.67,1.71E-02
ANKHD1,-1.71,-0.38,-1.10,0.23,6.74,6.60,1.84E-02
ABL1,1.42,-0.36,0.45,-1.34,5.72,6.58,1.86E-02
RAB33B,-1.50,0.43,-1.15,0.78,4.98,6.54,1.92E-02
NDUFAB1,-1.24,-1.16,0.22,0.30,8.25,6.53,1.92E-02
IARS,0.52,-1.60,1.97,-0.16,6.60,6.53,1.92E-02
LANCL1,-0.99,-0.94,0.51,0.55,5.87,6.52,1.93E-02
CISD1,-0.72,0.76,0.79,2.27,6.89,6.49,1.98E-02
METTL17,0.60,-1.36,1.47,-0.49,5.54,6.47,1.98E-02
FANCL,-0.69,-1.51,0.81,0.00,5.17,6.47,1.98E-02
BCOR,-0.86,-1.78,0.69,-0.23,7.14,6.47,1.98E-02
TMEM109,-0.66,1.13,-0.66,1.12,6.66,6.40,2.11E-02
MFAP1,-1.48,-1.00,-0.78,-0.30,5.65,6.38,2.15E-02
PHF20,-0.98,-0.03,-1.23,-0.28,6.93,6.36,2.16E-02
HEY1,0.00,1.43,-1.18,0.25,4.42,6.35,2.17E-02
PRNP,-0.13,0.54,-1.22,-0.54,8.90,6.32,2.23E-02
OSBP,-0.91,-0.22,-1.21,-0.52,6.58,6.26,2.35E-02
ATP1A1,-0.11,-0.08,-0.72,-0.70,8.57,6.26,2.35E-02
PCBP2,-0.22,0.63,-1.37,-0.52,7.44,6.25,2.35E-02
TRNAU1AP,-0.97,1.34,-1.29,1.02,6.69,6.25,2.35E-02
CCNK,-0.75,0.67,-1.13,0.29,10.87,6.23,2.37E-02
COPA,-1.03,-1.50,0.22,-0.25,6.44,6.22,2.39E-02
NUP85,0.09,-1.47,1.85,0.29,7.65,6.21,2.39E-02
CEP97,-1.23,-1.01,0.08,0.30,5.34,6.21,2.39E-02
AKAP11,0.71,-1.07,1.08,-0.70,4.46,6.18,2.43E-02
DEXI,1.67,-0.06,1.75,0.02,5.34,6.18,2.43E-02
POGLUT1,-1.29,-0.01,-0.28,1.00,5.69,6.17,2.43E-02
TMPO,-0.74,0.27,-1.17,-0.17,4.47,6.14,2.47E-02
SBNO1,-0.51,-1.08,0.71,0.13,6.89,6.14,2.47E-02
PDCD6IP,-0.49,-1.28,0.91,0.12,6.10,6.14,2.47E-02
CDKN3,-0.76,-0.57,0.74,0.93,4.48,6.13,2.47E-02
MAL,0.16,1.06,-1.64,-0.75,5.73,6.10,2.56E-02
ETV7,0.87,0.26,0.91,0.31,4.50,6.07,2.60E-02
ZNF593,-1.48,-0.42,-1.64,-0.59,5.72,6.04,2.66E-02
MCM2,-0.68,0.06,0.63,1.37,4.99,6.04,2.66E-02
TMEM2,-0.51,-1.29,0.90,0.12,10.98,6.04,2.66E-02
MRPS35,-0.44,-1.08,0.53,-0.11,4.41,6.03,2.66E-02
AMBRA1,-0.04,-1.65,0.18,-1.43,5.88,6.02,2.66E-02
TBP,1.18,-1.06,2.11,-0.12,6.81,6.01,2.66E-02
SRRT,-0.06,-1.00,0.83,-0.12,9.87,6.01,2.66E-02
PBX3,-0.13,1.03,-1.74,-0.57,5.18,6.00,2.68E-02
IER2,-0.47,0.82,-1.24,0.05,11.39,5.99,2.70E-02
SIDT2,-0.06,-2.92,2.64,-0.22,9.01,5.98,2.70E-02
PHF11,0.41,-1.10,1.98,0.47,8.27,5.97,2.71E-02
SNHG17,-1.40,-0.79,-0.91,-0.30,7.76,5.96,2.75E-02
TNF,0.32,1.35,-1.45,-0.43,5.99,5.94,2.79E-02
TAF12,0.47,-0.56,1.39,0.36,4.81,5.89,2.92E-02
PANK2,-1.34,-1.28,-0.12,-0.06,7.48,5.89,2.92E-02
NUP155,-0.83,-1.61,0.16,-0.62,5.81,5.88,2.92E-02
USP25,0.25,-0.76,1.41,0.41,7.41,5.87,2.92E-02
RFX5,-0.81,1.39,-1.29,0.91,5.63,5.87,2.92E-02
IER5,-0.74,0.37,-1.60,-0.49,10.05,5.86,2.94E-02
UBQLN2,-0.62,1.39,-1.38,0.63,8.55,5.85,2.94E-02
INO80D,-0.41,1.06,-1.37,0.10,8.56,5.84,2.94E-02
PEX2,-1.46,-0.06,-0.45,0.95,6.23,5.84,2.94E-02
N4BP2L1,-0.55,-1.00,0.07,-0.38,4.82,5.82,2.97E-02
PAQR3,-0.98,-0.67,0.23,0.53,4.66,5.82,2.97E-02
ADPGK,-0.30,-0.86,0.84,0.28,6.45,5.80,3.02E-02
PDSS2,2.13,-0.50,2.15,-0.48,5.74,5.79,3.05E-02
PTTG1,-2.07,-0.66,-0.09,1.33,7.46,5.78,3.05E-02
BORA,-1.97,-0.92,0.35,1.39,5.34,5.76,3.10E-02
ARL8B,-0.99,-1.26,0.31,0.04,9.42,5.76,3.10E-02
RPL8,-0.15,0.51,-0.94,-0.28,11.50,5.76,3.10E-02
SLC25A20,0.45,-1.02,2.42,0.94,5.18,5.73,3.16E-02
SLC39A6,-0.16,-1.31,1.08,-0.06,6.76,5.71,3.22E-02
MTHFD1,-0.81,0.31,0.19,1.32,4.48,5.71,3.22E-02
CHMP5,-0.87,-0.83,0.64,0.69,4.90,5.68,3.29E-02
MTMR9,-0.60,-1.47,0.36,-0.51,5.82,5.68,3.29E-02
UIMC1,-0.67,0.95,-1.69,-0.07,7.12,5.67,3.29E-02
CD53,0.51,-0.55,0.93,-0.13,9.92,5.66,3.32E-02
SMU1,-0.96,0.09,-1.29,-0.24,9.02,5.64,3.35E-02
TIMP2,-0.11,1.83,-1.45,0.49,5.13,5.64,3.35E-02
RAD1,1.18,-0.38,0.57,-0.99,5.03,5.63,3.35E-02
SYNM,-1.59,-1.83,-0.24,-0.47,6.85,5.63,3.35E-02
ZNF692,1.19,-0.34,1.17,-0.36,6.35,5.62,3.35E-02
NXF1,0.37,0.74,-0.70,-0.33,10.33,5.62,3.35E-02
HMOX2,0.87,-0.31,0.79,-0.39,6.84,5.60,3.39E-02
COPS3,-1.25,-0.64,-0.28,0.33,7.67,5.60,3.39E-02
SEC24A,-0.71,-0.96,0.13,-0.12,4.38,5.60,3.39E-02
HERC1,-0.21,-1.35,1.12,-0.01,8.46,5.59,3.41E-02
TBK1,-0.66,-1.22,0.98,0.42,6.28,5.57,3.44E-02
ACSL3,0.03,-1.28,0.06,-1.25,4.47,5.57,3.44E-02
CD74,0.12,-0.15,0.71,0.44,12.25,5.54,3.52E-02
PRKCQ,-0.10,-1.50,1.30,-0.10,7.53,5.54,3.54E-02
AGPAT5,-1.16,-1.09,0.49,0.56,4.19,5.53,3.57E-02
HLA-DPA1,-0.08,-0.02,0.98,1.03,8.91,5.50,3.68E-02
RAB26,0.09,0.80,-0.62,0.08,4.71,5.48,3.73E-02
SMAD7,-1.15,-0.56,-1.20,-0.61,5.39,5.48,3.73E-02
C1orf27,-1.22,-0.71,-0.05,0.45,6.10,5.47,3.74E-02
TGFBRAP1,0.07,-0.69,-0.15,-0.91,5.66,5.45,3.76E-02
SRPRA,-0.94,-0.77,-0.01,0.16,7.38,5.45,3.76E-02
PHF1,-0.65,0.87,-1.04,0.48,8.16,5.43,3.86E-02
PER1,-1.06,0.63,-1.25,0.44,7.34,5.42,3.88E-02
GNPTAB,0.77,-1.55,1.80,-0.52,5.73,5.40,3.95E-02
IL27RA,0.30,-1.54,1.23,-0.62,6.61,5.39,3.95E-02
DPAGT1,0.32,0.16,1.15,0.99,5.67,5.39,3.95E-02
VPS33A,0.77,0.07,1.39,0.69,6.10,5.38,3.95E-02
EIF2AK3,-1.48,-0.24,-0.85,0.39,6.13,5.38,3.95E-02
TTC12,-0.08,0.84,-0.66,0.26,4.31,5.37,3.97E-02
CTLA4,-1.24,-0.58,0.76,1.42,6.72,5.36,4.00E-02
SOS2,-0.35,-0.57,-0.59,-0.81,5.78,5.36,4.00E-02
CXCR4,-0.49,0.05,-0.87,-0.32,12.32,5.35,4.03E-02
HERC5,-0.85,-1.00,-0.28,-0.43,5.00,5.34,4.05E-02
CD83,0.34,0.37,-1.60,-1.57,8.68,5.34,4.05E-02
MUM1,2.23,-0.61,1.71,-1.13,5.02,5.31,4.14E-02
KLHL7,-1.37,-0.45,-0.74,0.18,4.92,5.31,4.14E-02
GALNT1,-0.34,-0.60,0.66,0.41,7.71,5.30,4.14E-02
DBI,-0.15,-0.85,1.00,0.30,9.47,5.30,4.14E-02
CIAO1,0.32,-0.85,1.12,-0.05,6.63,5.27,4.21E-02
IDS,-0.03,-0.04,-0.61,-0.62,8.55,5.27,4.21E-02
NFKB1,-1.13,0.19,-1.55,-0.23,8.08,5.27,4.21E-02
TGFB1,0.19,-0.24,-0.58,-1.00,6.64,5.26,4.21E-02
NELL2,-0.34,0.22,-1.61,-1.05,7.41,5.26,4.21E-02
SLC8B1,0.11,0.69,-0.84,-0.25,5.94,5.25,4.23E-02
FTH1,-1.42,-2.00,-0.29,-0.87,9.33,5.25,4.25E-02
TYMS,-1.16,-0.66,0.87,1.38,5.06,5.24,4.25E-02
PHLPP1,-0.56,-1.85,0.43,-0.86,4.62,5.24,4.25E-02
BTBD1,-0.62,-0.38,0.41,0.65,8.92,5.22,4.33E-02
TM9SF3,-0.05,-0.99,0.64,-0.31,11.05,5.21,4.33E-02
BTN2A2,-0.25,-0.85,0.45,-0.15,4.70,5.21,4.33E-02
RIOK2,-1.16,-0.61,0.07,0.62,5.06,5.20,4.36E-02
KIF2A,0.80,-0.31,1.33,0.23,5.60,5.20,4.36E-02
RPA3,-1.06,-0.51,-0.16,0.39,6.38,5.17,4.44E-02
RNMT,-1.26,-0.33,-0.77,0.16,8.61,5.17,4.44E-02
CSNK1G3,-1.44,0.06,-0.86,0.63,6.98,5.17,4.44E-02
IRF3,0.25,0.20,0.84,0.79,7.50,5.17,4.44E-02
FYCO1,0.62,-1.30,1.97,0.05,5.79,5.17,4.44E-02
GMFB,-1.18,1.20,-1.73,0.65,6.68,5.15,4.49E-02
UPF3B,-0.72,-1.69,1.19,0.22,7.24,5.14,4.49E-02
MGAT1,-0.92,-0.73,0.43,0.62,7.04,5.14,4.49E-02
SH2D1A,-0.74,0.24,-0.17,0.81,7.25,5.14,4.49E-02
NT5C2,-0.08,-1.27,0.87,-0.32,6.28,5.12,4.54E-02
ITPA,0.44,0.34,0.73,0.63,6.02,5.12,4.54E-02
ATP5O,-0.08,-0.24,0.84,0.68,10.05,5.12,4.54E-02
ZNF45,-1.45,0.14,-0.83,0.76,4.66,5.11,4.56E-02
FAM98A,-0.76,-0.72,0.86,0.89,5.30,5.10,4.62E-02
CCNB1IP1,-0.41,0.16,0.67,1.24,7.48,5.07,4.76E-02
TCP11L1,-1.03,-0.97,0.14,0.20,5.19,5.07,4.76E-02
PAPSS1,0.40,-1.22,1.37,-0.24,5.94,5.05,4.81E-02
NUPL2,0.37,1.38,-0.86,0.14,4.60,5.05,4.82E-02
CFLAR,0.93,-0.37,0.39,-0.91,7.70,5.04,4.84E-02
MRPL3,-1.44,-0.36,-1.22,-0.15,7.59,5.02,4.91E-02
CCR7,-0.50,-0.95,-1.35,-1.80,7.41,5.02,4.91E-02
TOP2A,-0.61,-0.45,0.45,0.62,4.88,5.01,4.92E-02
LEF1,0.82,0.82,-0.35,-0.35,7.59,5.01,4.92E-02
DCTN3,0.15,-0.35,1.28,0.78,8.37,5.01,4.92E-02
CD58,0.10,-2.14,1.47,-0.77,5.97,5.01,4.92E-02
SLC46A3,0.80,-0.60,2.11,0.71,4.45,4.99,4.97E-02
GTF2B,-0.97,-0.31,-0.75,-0.09,8.59,4.99,4.97E-02
ARID5B,-1.89,-0.29,-1.18,0.41,7.20,4.99,4.98E-02
