Gene,Set,Signature Type
FAM196B,Dysfunction_module_100,mouse signature
TMEM243,Dysfunction_module_100,mouse signature
ZFP62,Dysfunction_module_100,mouse signature
DTWD1,Dysfunction_module_100,mouse signature
GNA13,Dysfunction_module_100,mouse signature
JAK2,Dysfunction_module_100,mouse signature
EIF3F,Dysfunction_module_100,mouse signature
CCR7,Dysfunction_module_100,mouse signature
SGPP1,Dysfunction_module_100,mouse signature
SLAMF7,Dysfunction_module_100,mouse signature
QRICH1,Dysfunction_module_100,mouse signature
EML4,Dysfunction_module_100,mouse signature
CACNB3,Dysfunction_module_100,mouse signature
CDC45,Activation.Dysfunction_module_100,mouse signature
PTPN11,Activation.Dysfunction_module_100,mouse signature
GINS1,Activation.Dysfunction_module_100,mouse signature
TFDP3,Activation.Dysfunction_module_100,mouse signature
TFDP1,Activation.Dysfunction_module_100,mouse signature
MLF2,Activation.Dysfunction_module_100,mouse signature
PGP,Activation.Dysfunction_module_100,mouse signature
POLE,Activation.Dysfunction_module_100,mouse signature
IL10RA,Activation.Dysfunction_module_100,mouse signature
LDHA,Activation.Dysfunction_module_100,mouse signature
SERPINB6,Activation.Dysfunction_module_100,mouse signature
ASNSD1,Activation.Dysfunction_module_100,mouse signature
LCLAT1,Activation.Dysfunction_module_100,mouse signature
CALR,Activation.Dysfunction_module_100,mouse signature
LGALS1,Activation.Dysfunction_module_100,mouse signature
NDFIP2,Activation.Dysfunction_module_100,mouse signature
GPD2,Activation.Dysfunction_module_100,mouse signature
RRM1,Activation.Dysfunction_module_100,mouse signature
TPI1,Activation.Dysfunction_module_100,mouse signature
DUSP14,Activation.Dysfunction_module_100,mouse signature
MAD2L1,Activation.Dysfunction_module_100,mouse signature
MLEC,Activation.Dysfunction_module_100,mouse signature
CRMP1,Activation.Dysfunction_module_100,mouse signature
DTL,Activation.Dysfunction_module_100,mouse signature
PDCD1,Activation.Dysfunction_module_100,mouse signature
INTS7,Activation.Dysfunction_module_100,mouse signature
WDR3,Activation.Dysfunction_module_100,mouse signature
MED14,Activation.Dysfunction_module_100,mouse signature
EEA1,Activation.Dysfunction_module_100,mouse signature
UAP1,Activation.Dysfunction_module_100,mouse signature
FAR1,Activation.Dysfunction_module_100,mouse signature
YWHAH,Activation.Dysfunction_module_100,mouse signature
MMD,Activation.Dysfunction_module_100,mouse signature
CSF1,Activation.Dysfunction_module_100,mouse signature
HN1L,Activation.Dysfunction_module_100,mouse signature
MDFIC,Activation.Dysfunction_module_100,mouse signature
DUSP4,Activation.Dysfunction_module_100,mouse signature
IL2RA,Activation.Dysfunction_module_100,mouse signature
ALDOA,Activation.Dysfunction_module_100,mouse signature
ENO1,Activation.Dysfunction_module_100,mouse signature
SIVA1,Activation.Dysfunction_module_100,mouse signature
TNFRSF4,Activation.Dysfunction_module_100,mouse signature
TNFRSF9,Activation.Dysfunction_module_100,mouse signature
CSRP1,Activation.Dysfunction_module_100,mouse signature
IGFBP7,Activation.Dysfunction_module_100,mouse signature
MCM6,Activation.Dysfunction_module_100,mouse signature
RDX,Activation.Dysfunction_module_100,mouse signature
KIF2C,Activation.Dysfunction_module_100,mouse signature
RBL2,Activation.Dysfunction_module_100,mouse signature
BCL2A1,Activation.Dysfunction_module_100,mouse signature
ATP5B,Activation.Dysfunction_module_100,mouse signature
CIT,Activation.Dysfunction_module_100,mouse signature
HELLS,Activation.Dysfunction_module_100,mouse signature
B4GALT5,Activation.Dysfunction_module_100,mouse signature
TRPS1,Activation.Dysfunction_module_100,mouse signature
FAM129A,Activation.Dysfunction_module_100,mouse signature
TXN,Activation.Dysfunction_module_100,mouse signature
HSP90AB1,Activation.Dysfunction_module_100,mouse signature
H2AFZ,Activation.Dysfunction_module_100,mouse signature
METAP2,Activation.Dysfunction_module_100,mouse signature
DESI1,Activation.Dysfunction_module_100,mouse signature
FIGNL1,Activation.Dysfunction_module_100,mouse signature
LIN54,Activation.Dysfunction_module_100,mouse signature
CAPG,Activation.Dysfunction_module_100,mouse signature
SYNE3,Activation.Dysfunction_module_100,mouse signature
LIG1,Activation.Dysfunction_module_100,mouse signature
HCFC1,Activation.Dysfunction_module_100,mouse signature
GARS,Activation.Dysfunction_module_100,mouse signature
SMARCA5,Activation.Dysfunction_module_100,mouse signature
PGK1,Activation.Dysfunction_module_100,mouse signature
PPP1CA,Activation.Dysfunction_module_100,mouse signature
RBPJ,Activation.Dysfunction_module_100,mouse signature
BHLHE40,Activation.Dysfunction_module_100,mouse signature
SLC16A3,Activation.Dysfunction_module_100,mouse signature
DNMT1,Activation.Dysfunction_module_100,mouse signature
S100A4,Activation.Dysfunction_module_100,mouse signature
PKM,Activation.Dysfunction_module_100,mouse signature
PRELID1,Activation.Dysfunction_module_100,mouse signature
KIF20A,Activation.Dysfunction_module_100,mouse signature
ITGAV,Activation.Dysfunction_module_100,mouse signature
TWSG1,Activation.Dysfunction_module_100,mouse signature
TACC3,Activation.Dysfunction_module_100,mouse signature
ATP5F1,Activation.Dysfunction_module_100,mouse signature
ANKRD52,Activation.Dysfunction_module_100,mouse signature
RGS16,Activation.Dysfunction_module_100,mouse signature
ANXA2,Activation.Dysfunction_module_100,mouse signature
TMPO,Activation.Dysfunction_module_100,mouse signature
ATP10A,Activation.Dysfunction_module_100,mouse signature
PRIM1,Activation.Dysfunction_module_100,mouse signature
ZNF207,Activation.Dysfunction_module_100,mouse signature
STX11,Activation.Dysfunction_module_100,mouse signature
TOPBP1,Activation.Dysfunction_module_100,mouse signature
GPR183,Naive.Memory_like_module_100,mouse signature
TREML2,Naive.Memory_like_module_100,mouse signature
ZNRF3,Naive.Memory_like_module_100,mouse signature
CDK2AP2,Naive.Memory_like_module_100,mouse signature
CREB3,Naive.Memory_like_module_100,mouse signature
RPS16,Naive.Memory_like_module_100,mouse signature
ATP1B3,Naive.Memory_like_module_100,mouse signature
BLNK,Naive.Memory_like_module_100,mouse signature
RPS29,Naive.Memory_like_module_100,mouse signature
SHARPIN,Naive.Memory_like_module_100,mouse signature
TSC22D1,Naive.Memory_like_module_100,mouse signature
HSD11B1,Naive.Memory_like_module_100,mouse signature
AKAP8L,Naive.Memory_like_module_100,mouse signature
PHC1,Naive.Memory_like_module_100,mouse signature
S1PR1,Naive.Memory_like_module_100,mouse signature
SRSF5,Naive.Memory_like_module_100,mouse signature
ACSS2,Naive.Memory_like_module_100,mouse signature
ADK,Naive.Memory_like_module_100,mouse signature
ATP1B1,Naive.Memory_like_module_100,mouse signature
JAML,Naive.Memory_like_module_100,mouse signature
CNP,Naive.Memory_like_module_100,mouse signature
FCRLA,Naive.Memory_like_module_100,mouse signature
RAB33B,Naive.Memory_like_module_100,mouse signature
RPF1,Naive.Memory_like_module_100,mouse signature
SP140,Naive.Memory_like_module_100,mouse signature
SH3GL1,Naive.Memory_like_module_100,mouse signature
CTSV,Naive.Memory_like_module_100,mouse signature
RPGRIP1,Naive.Memory_like_module_100,mouse signature
RABGGTA,Naive.Memory_like_module_100,mouse signature
CXXC5,Naive.Memory_like_module_100,mouse signature
KCNJ8,Naive.Memory_like_module_100,mouse signature
DYM,Naive.Memory_like_module_100,mouse signature
FRAT1,Naive.Memory_like_module_100,mouse signature
SPIB,Naive.Memory_like_module_100,mouse signature
ADRB2,Naive.Memory_like_module_100,mouse signature
COX6A2,Naive.Memory_like_module_100,mouse signature
TMEM219,Naive.Memory_like_module_100,mouse signature
GPR18,Naive.Memory_like_module_100,mouse signature
CCPG1,Naive.Memory_like_module_100,mouse signature
PLCB2,Naive.Memory_like_module_100,mouse signature
KYNU,Naive.Memory_like_module_100,mouse signature
CRLF3,Naive.Memory_like_module_100,mouse signature
IDNK,Naive.Memory_like_module_100,mouse signature
DNAJB9,Naive.Memory_like_module_100,mouse signature
TXNIP,Naive.Memory_like_module_100,mouse signature
UPB1,Naive.Memory_like_module_100,mouse signature
PHF1,Naive.Memory_like_module_100,mouse signature
RPL18A,Naive.Memory_like_module_100,mouse signature
DNTT,Naive.Memory_like_module_100,mouse signature
HAAO,Naive.Memory_like_module_100,mouse signature
PIM2,Naive.Memory_like_module_100,mouse signature
RABAC1,Naive.Memory_like_module_100,mouse signature
APOPT1,Naive.Memory_like_module_100,mouse signature
BIN2,Naive.Memory_like_module_100,mouse signature
OXR1,Naive.Memory_like_module_100,mouse signature
GPR171,Naive.Memory_like_module_100,mouse signature
RASGRP2,Naive.Memory_like_module_100,mouse signature
SLC9A9,Naive.Memory_like_module_100,mouse signature
PIAS1,Naive.Memory_like_module_100,mouse signature
ZCCHC18,Naive.Memory_like_module_100,mouse signature
ZCCHC12,Naive.Memory_like_module_100,mouse signature
NPC2,Naive.Memory_like_module_100,mouse signature
CD180,Naive.Memory_like_module_100,mouse signature
SMIM14,Naive.Memory_like_module_100,mouse signature
P2RY14,Naive.Memory_like_module_100,mouse signature
PDLIM1,Naive.Memory_like_module_100,mouse signature
MYLIP,Naive.Memory_like_module_100,mouse signature
PDE2A,Naive.Memory_like_module_100,mouse signature
PPIF,Naive.Memory_like_module_100,mouse signature
FBXO32,Naive.Memory_like_module_100,mouse signature
DIRC2,Naive.Memory_like_module_100,mouse signature
SP110,Naive.Memory_like_module_100,mouse signature
ELOVL6,Naive.Memory_like_module_100,mouse signature
PJA1,Naive.Memory_like_module_100,mouse signature
USP7,Naive.Memory_like_module_100,mouse signature
HCST,Naive.Memory_like_module_100,mouse signature
GAB3,Naive.Memory_like_module_100,mouse signature
TOM1,Naive.Memory_like_module_100,mouse signature
ACP5,Naive.Memory_like_module_100,mouse signature
NR4A3,naive_cd8,mouse signature
ZBTB20,naive_cd8,mouse signature
ITGAE,naive_cd8,mouse signature
RALGPS2,naive_cd8,mouse signature
MAP7,naive_cd8,mouse signature
NEDD4L,naive_cd8,mouse signature
MAP4K3,naive_cd8,mouse signature
APP,naive_cd8,mouse signature
PKD1,naive_cd8,mouse signature
CCR9,naive_cd8,mouse signature
ABCG1,naive_cd8,mouse signature
SEC11C,naive_cd8,mouse signature
PSAP,naive_cd8,mouse signature
CANT1,naive_cd8,mouse signature
BSDC1,naive_cd8,mouse signature
FAM134A,naive_cd8,mouse signature
PI4K2A,naive_cd8,mouse signature
RBM4B,naive_cd8,mouse signature
USP2,naive_cd8,mouse signature
RAB33B,naive_cd8,mouse signature
PHF1,naive_cd8,mouse signature
SLC39A4,naive_cd8,mouse signature
BRWD3,naive_cd8,mouse signature
MSL2,naive_cd8,mouse signature
POU6F1,memory_cd8,mouse signature
TDRP,memory_cd8,mouse signature
HSD17B11,memory_cd8,mouse signature
CRTAM,memory_cd8,mouse signature
PRSS12,memory_cd8,mouse signature
AQP9,memory_cd8,mouse signature
KCNJ8,memory_cd8,mouse signature
RABAC1,memory_cd8,mouse signature
GZMM,memory_cd8,mouse signature
IFITM10,memory_cd8,mouse signature
CXCR3,memory_cd8,mouse signature
IFNG,memory_cd8,mouse signature
VKORC1,memory_cd8,mouse signature
KLF6,memory_cd8,mouse signature
GSTO1,memory_cd8,mouse signature
EOMES,memory_cd8,mouse signature
YES1,memory_cd8,mouse signature
CD7,memory_cd8,mouse signature
GATA3,memory_cd8,mouse signature
BCL2,memory_cd8,mouse signature
MOGS,memory_cd8,mouse signature
IL7R,memory_cd8,mouse signature
MEF2C,exhaustion_cd8,mouse signature
IGHG4,exhaustion_cd8,mouse signature
IGHG2,exhaustion_cd8,mouse signature
IGHG1,exhaustion_cd8,mouse signature
IGHG3,exhaustion_cd8,mouse signature
PRC1,exhaustion_cd8,mouse signature
PRR11,exhaustion_cd8,mouse signature
PDCD1,exhaustion_cd8,mouse signature
CXCL10,exhaustion_cd8,mouse signature
CCRL2,exhaustion_cd8,mouse signature
ADCK1,exhaustion_cd8,mouse signature
CDCA8,exhaustion_cd8,mouse signature
CLEC4E,exhaustion_cd8,mouse signature
LTF,exhaustion_cd8,mouse signature
MASTL,exhaustion_cd8,mouse signature
BHLHE41,exhaustion_cd8,mouse signature
CCNA2,exhaustion_cd8,mouse signature
TOP2A,exhaustion_cd8,mouse signature
LAG3,exhaustion_cd8,mouse signature
KIF14,exhaustion_cd8,mouse signature
KIF11,exhaustion_cd8,mouse signature
KIF15,exhaustion_cd8,mouse signature
TPX2,exhaustion_cd8,mouse signature
NUSAP1,exhaustion_cd8,mouse signature
RAD51,exhaustion_cd8,mouse signature
RRM2,exhaustion_cd8,mouse signature
SRGAP3,exhaustion_cd8,mouse signature
LCLAT1,exhaustion_cd8,mouse signature
BUB1B,exhaustion_cd8,mouse signature
SLPI,exhaustion_cd8,mouse signature
SHCBP1,exhaustion_cd8,mouse signature
IL1R2,exhaustion_cd8,mouse signature
CKS1B,exhaustion_cd8,mouse signature
RTP4,exhaustion_cd8,mouse signature
CXCL2,exhaustion_cd8,mouse signature
CXCL3,exhaustion_cd8,mouse signature
CXCL1,exhaustion_cd8,mouse signature
JCHAIN,exhaustion_cd8,mouse signature
RSAD2,exhaustion_cd8,mouse signature
CHEK1,exhaustion_cd8,mouse signature
CEP55,exhaustion_cd8,mouse signature
HMMR,exhaustion_cd8,mouse signature
SPC24,exhaustion_cd8,mouse signature
SPC25,exhaustion_cd8,mouse signature
NCAPH,exhaustion_cd8,mouse signature
NCAPG2,exhaustion_cd8,mouse signature
NCAPG,exhaustion_cd8,mouse signature
BUB1,exhaustion_cd8,mouse signature
FGL2,exhaustion_cd8,mouse signature
HAVCR2,exhaustion_cd8,mouse signature
IKZF2,exhaustion_cd8,mouse signature
MKI67,exhaustion_cd8,mouse signature
DLGAP5,exhaustion_cd8,mouse signature
SETBP1,exhaustion_cd8,mouse signature
MZB1,exhaustion_cd8,mouse signature
NUF2,exhaustion_cd8,mouse signature
CTLA4,exhaustion_cd8,mouse signature
CENPF,exhaustion_cd8,mouse signature
BIRC5,exhaustion_cd8,mouse signature
CENPE,exhaustion_cd8,mouse signature
RGS16,exhaustion_cd8,mouse signature
OCIAD2,exhaustion_cd8,mouse signature
CENPH,exhaustion_cd8,mouse signature
CCNB1,exhaustion_cd8,mouse signature
TOX,exhaustion_cd8,mouse signature
CYBB,exhaustion_cd8,mouse signature
IFIT1B,exhaustion_cd8,mouse signature
CCNB2,exhaustion_cd8,mouse signature
CLGN,exhaustion_cd8,mouse signature
PENK,exhaustion_cd8,mouse signature
CHN2,exhaustion_cd8,mouse signature
AREG,exhaustion_cd8,mouse signature
EAF2,exhaustion_cd8,mouse signature
SATB1,resolution_cd8,mouse signature
WFIKKN2,resolution_cd8,mouse signature
SNORD33,resolution_cd8,mouse signature
SSH2,resolution_cd8,mouse signature
YES1,resolution_cd8,mouse signature
IL7R,resolution_cd8,mouse signature
DMRTA1,resolution_cd8,mouse signature
RTP4,doering_d8_cl13_up,mouse signature
ENPP1,doering_d8_cl13_up,mouse signature
FPR1,doering_d8_cl13_up,mouse signature
RSAD2,doering_d8_cl13_up,mouse signature
TNFRSF4,doering_d8_cl13_up,mouse signature
CCRL2,doering_d8_cl13_up,mouse signature
CXCR4,doering_d8_cl13_up,mouse signature
SPATS2,doering_d8_cl13_up,mouse signature
ITIH5,doering_d8_cl13_up,mouse signature
STK39,doering_d8_cl13_up,mouse signature
LAG3,doering_d8_cl13_up,mouse signature
ZC3H12C,doering_d8_cl13_up,mouse signature
MS4A3,doering_d8_cl13_up,mouse signature
SYT11,doering_d8_cl13_up,mouse signature
ERMN,doering_d8_cl13_up,mouse signature
HILPDA,doering_d8_cl13_up,mouse signature
RGS16,doering_d8_cl13_up,mouse signature
BCL2L11,doering_d8_cl13_up,mouse signature
OCIAD2,doering_d8_cl13_up,mouse signature
IFIT3,doering_d8_cl13_up,mouse signature
CCR9,doering_d8_cl13_up,mouse signature
TOX,doering_d8_cl13_up,mouse signature
P2RY13,doering_d8_cl13_up,mouse signature
TRPS1,doering_d8_cl13_up,mouse signature
IRF7,doering_d8_cl13_up,mouse signature
CAPG,doering_d8_cl13_up,mouse signature
SRGAP3,doering_d8_cl13_up,mouse signature
MPO,doering_d8_cl13_up,mouse signature
VCAN,doering_d8_cl13_up,mouse signature
XCL2,doering_d8_cl13_up,mouse signature
XCL1,doering_d8_cl13_up,mouse signature
S1PR5,doering_d8_arm_up,mouse signature
AS3MT,doering_d8_arm_up,mouse signature
GPX8,doering_d8_arm_up,mouse signature
KLF3,doering_d8_arm_up,mouse signature
BUB1B,controller_vs_progressor_pepstim_up,HIV signature
NUDT1,controller_vs_progressor_pepstim_up,HIV signature
ARHGAP19,controller_vs_progressor_pepstim_up,HIV signature
ARHGAP11B,controller_vs_progressor_pepstim_up,HIV signature
RPL13A,controller_vs_progressor_pepstim_up,HIV signature
TROAP,controller_vs_progressor_pepstim_up,HIV signature
LMNB1,controller_vs_progressor_pepstim_up,HIV signature
ELL2,controller_vs_progressor_pepstim_up,HIV signature
DIAPH3,controller_vs_progressor_pepstim_up,HIV signature
LOC399942,controller_vs_progressor_pepstim_up,HIV signature
SNORD46,controller_vs_progressor_pepstim_up,HIV signature
INSRR,controller_vs_progressor_pepstim_up,HIV signature
UBASH3A,controller_vs_progressor_pepstim_up,HIV signature
LOC285053,controller_vs_progressor_pepstim_up,HIV signature
MLF1IP,controller_vs_progressor_pepstim_up,HIV signature
CD8A,controller_vs_progressor_pepstim_up,HIV signature
CKS1B,controller_vs_progressor_pepstim_up,HIV signature
SNORD43,controller_vs_progressor_pepstim_up,HIV signature
LOC387825,controller_vs_progressor_pepstim_up,HIV signature
SHMT1,controller_vs_progressor_pepstim_up,HIV signature
BRP44,controller_vs_progressor_pepstim_up,HIV signature
G3BP2,controller_vs_progressor_pepstim_up,HIV signature
ACYP1,controller_vs_progressor_pepstim_up,HIV signature
CKS2,controller_vs_progressor_pepstim_up,HIV signature
ASPM,controller_vs_progressor_pepstim_up,HIV signature
CD8A,controller_vs_progressor_pepstim_up,HIV signature
LOC643446,controller_vs_progressor_pepstim_up,HIV signature
RAD51,controller_vs_progressor_pepstim_up,HIV signature
CCNB2,controller_vs_progressor_pepstim_up,HIV signature
CORO1A,controller_vs_progressor_pepstim_up,HIV signature
ZNF783,controller_vs_progressor_pepstim_up,HIV signature
NUSAP1,controller_vs_progressor_pepstim_up,HIV signature
SOS1,controller_vs_progressor_pepstim_up,HIV signature
RAD51,controller_vs_progressor_pepstim_up,HIV signature
FIBP,controller_vs_progressor_pepstim_up,HIV signature
PRIM1,controller_vs_progressor_pepstim_up,HIV signature
BRCA1,controller_vs_progressor_pepstim_up,HIV signature
VNN2,controller_vs_progressor_pepstim_up,HIV signature
LOC441876,controller_vs_progressor_pepstim_up,HIV signature
TOX,controller_vs_progressor_pepstim_up,HIV signature
FAM54A,controller_vs_progressor_pepstim_up,HIV signature
SPC25,controller_vs_progressor_pepstim_up,HIV signature
INVS,controller_vs_progressor_pepstim_up,HIV signature
C1orf57,controller_vs_progressor_pepstim_up,HIV signature
SNORA9,controller_vs_progressor_pepstim_up,HIV signature
POLR1D,controller_vs_progressor_pepstim_up,HIV signature
RPA3,controller_vs_progressor_pepstim_up,HIV signature
SSNA1,controller_vs_progressor_pepstim_up,HIV signature
HIF3A,controller_vs_progressor_pepstim_up,HIV signature
PCCB,controller_vs_progressor_pepstim_up,HIV signature
RPL10A,controller_vs_progressor_pepstim_up,HIV signature
THOC4,controller_vs_progressor_pepstim_up,HIV signature
CCDC28B,controller_vs_progressor_pepstim_up,HIV signature
DIAPH3,controller_vs_progressor_pepstim_up,HIV signature
C1orf59,controller_vs_progressor_pepstim_up,HIV signature
LOC646294,controller_vs_progressor_pepstim_up,HIV signature
KLRG1,controller_vs_progressor_pepstim_up,HIV signature
MND1,controller_vs_progressor_pepstim_up,HIV signature
ACYP1,controller_vs_progressor_pepstim_up,HIV signature
DLGAP5,controller_vs_progressor_pepstim_up,HIV signature
RAD51AP1,controller_vs_progressor_pepstim_up,HIV signature
SPINT2,progressor_vs_controller_pepstim_up,HIV signature
DENND5A,progressor_vs_controller_pepstim_up,HIV signature
LYN,progressor_vs_controller_pepstim_up,HIV signature
NCF1,progressor_vs_controller_pepstim_up,HIV signature
OTUD1,progressor_vs_controller_pepstim_up,HIV signature
APP,progressor_vs_controller_pepstim_up,HIV signature
TIMP2,progressor_vs_controller_pepstim_up,HIV signature
USP6NL,progressor_vs_controller_pepstim_up,HIV signature
SRC,progressor_vs_controller_pepstim_up,HIV signature
