Run,Age,alignment_software (exp),Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Breed,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,id,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,Cell_type,treatment
SRR2075562,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,4175098150,PRJNA287664,SAMN03785078,Model organism or animal,C57BL/6,2055957673,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070591,WT,11,Illumina HiSeq 2500,CD8_MP.2,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_MP.2,female,SRP059792,Splenocytes,P14 CD8+ KLRG1lo IL7Rhi T cells,
SRR2075563,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,3712913814,PRJNA287664,SAMN03785079,Model organism or animal,C57BL/6,1826755768,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070592,WT,12,Illumina HiSeq 2500,CD8_MP.3,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_MP.3,female,SRP059792,Splenocytes,P14 CD8+ KLRG1lo IL7Rhi T cells,
SRR2075564,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,4799024730,PRJNA287664,SAMN03785080,Model organism or animal,C57BL/6,2348757290,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070593,WT,13,Illumina HiSeq 2500,CD8_TE.1,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TE.1,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi IL7Rlo T cells,
SRR2075565,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,4118172833,PRJNA287664,SAMN03785081,Model organism or animal,C57BL/6,2017844767,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070594,WT,14,Illumina HiSeq 2500,CD8_TE.2,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TE.2,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi IL7Rlo T cells,
SRR2075566,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,4785349480,PRJNA287664,SAMN03785082,Model organism or animal,C57BL/6,2345609463,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070595,WT,15,Illumina HiSeq 2500,CD8_TE.3,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TE.3,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi IL7Rlo T cells,
SRR2075567,6-8 weeks,bowtie2,ChIP-Seq,GCF_000001635.20,76,6366107320,PRJNA287664,SAMN03785083,Model organism or animal,C57BL/6,3682867781,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070596,WT,16,Illumina HiSeq 2500,CD8_TBET_WT.1,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TBET_WT.1,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075568,6-8 weeks,bowtie2,ChIP-Seq,GCF_000001635.20,76,5412927404,PRJNA287664,SAMN03785084,Model organism or animal,C57BL/6,3131898357,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070597,WT,17,Illumina HiSeq 2500,CD8_TBET_WT.2,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TBET_WT.2,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075569,6-8 weeks,bowtie2,ChIP-Seq,GCF_000001635.20,76,7536499264,PRJNA287664,SAMN03785085,Model organism or animal,C57BL/6,4285194270,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070598,Zeb2-KO,18,Illumina HiSeq 2500,CD8_TBET_Zeb2-KO.1,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TBET_Zeb2-KO.1,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075570,6-8 weeks,bowtie2,ChIP-Seq,GCF_000001635.20,76,6388453904,PRJNA287664,SAMN03785086,Model organism or animal,C57BL/6,3699013863,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070599,Zeb2-KO,19,Illumina HiSeq 2500,CD8_TBET_Zeb2-KO.2,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TBET_Zeb2-KO.2,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075571,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,3712894099,PRJNA287664,SAMN03785087,Model organism or animal,C57BL/6,1848546765,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070600,WT,20,Illumina HiSeq 2500,CD8_Klrg1hi_WT.1,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_WT.1,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075572,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,3759476667,PRJNA287664,SAMN03785088,Model organism or animal,C57BL/6,1831394615,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070601,WT,21,Illumina HiSeq 2500,CD8_Klrg1hi_WT.2,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_WT.2,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075573,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,3338654728,PRJNA287664,SAMN03785089,Model organism or animal,C57BL/6,1628060615,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070602,WT,22,Illumina HiSeq 2500,CD8_Klrg1hi_WT.3,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_WT.3,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075574,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,150,3566044494,PRJNA287664,SAMN03785090,Model organism or animal,C57BL/6,1659852141,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070604,Zeb2-KO,23,Illumina HiSeq 2500,CD8_Klrg1hi_Zeb2-KO.1,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_Zeb2-KO.1,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075575,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,150,4151874227,PRJNA287664,SAMN03785091,Model organism or animal,C57BL/6,1911500375,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070605,Zeb2-KO,24,Illumina HiSeq 2500,CD8_Klrg1hi_Zeb2-KO.2,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_Zeb2-KO.2,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075576,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,150,3611146465,PRJNA287664,SAMN03785092,Model organism or animal,C57BL/6,1669196530,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070606,Zeb2-KO,25,Illumina HiSeq 2500,CD8_Klrg1hi_Zeb2-KO.3,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_Zeb2-KO.3,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075577,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,142,3567718971,PRJNA287664,SAMN03785093,Model organism or animal,C57BL/6,1815351030,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070607,T-bet RV,26,Illumina HiSeq 2500,CD8_Klrg1hi_TBET-RV.1,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_TBET-RV.1,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075578,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,142,3771368958,PRJNA287664,SAMN03785094,Model organism or animal,C57BL/6,1918594250,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070608,T-bet RV,27,Illumina HiSeq 2500,CD8_Klrg1hi_TBET-RV.2,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_TBET-RV.2,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075579,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,142,3591505504,PRJNA287664,SAMN03785095,Model organism or animal,C57BL/6,1824034508,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070609,T-bet RV,28,Illumina HiSeq 2500,CD8_Klrg1hi_TBET-RV.3,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_TBET-RV.3,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075580,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,142,3084072007,PRJNA287664,SAMN03785096,Model organism or animal,C57BL/6,1578321861,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070610,Zeb2-KO T-bet RV,29,Illumina HiSeq 2500,CD8_Klrg1hi_Zeb2-KO_TBET-RV.1,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_Zeb2-KO_TBET-RV.1,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075581,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,142,3814902302,PRJNA287664,SAMN03785097,Model organism or animal,C57BL/6,1943335003,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070611,Zeb2-KO T-bet RV,30,Illumina HiSeq 2500,CD8_Klrg1hi_Zeb2-KO_TBET-RV.2,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_Zeb2-KO_TBET-RV.2,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075582,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,142,3433999353,PRJNA287664,SAMN03785098,Model organism or animal,C57BL/6,1753599394,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070612,Zeb2-KO T-bet RV,31,Illumina HiSeq 2500,CD8_Klrg1hi_Zeb2-KO_TBET-RV.3,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Klrg1hi_Zeb2-KO_TBET-RV.3,female,SRP059792,Splenocytes,P14 CD8+ KLRG1hi T cells,
SRR2075583,6-8 weeks,bowtie2,ChIP-Seq,GCF_000001635.20,76,1882496440,PRJNA287664,SAMN03785173,Model organism or animal,C57BL/6,930918082,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070613,WT,44,Illumina HiSeq 2500,CD8_TBET_WT_IL12.1,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TBET_WT_IL12.1,female,SRP059792,Splenocytes,,IL-12
SRR2075584,6-8 weeks,bowtie2,ChIP-Seq,GCF_000001635.20,76,2176183544,PRJNA287664,SAMN03785179,Model organism or animal,C57BL/6,823282379,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070614,WT,45,Illumina HiSeq 2500,CD8_TBET_WT_IL12_Input.1,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TBET_WT_IL12_Input.1,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075585,6-8 weeks,bowtie2,ChIP-Seq,GCF_000001635.20,76,3080537260,PRJNA287664,SAMN03785180,Model organism or animal,C57BL/6,1356377864,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070615,WT,46,Illumina HiSeq 2500,CD8_TBET_WT_Input.1,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TBET_WT_Input.1,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075586,6-8 weeks,bowtie2,ChIP-Seq,GCF_000001635.20,76,2881827812,PRJNA287664,SAMN03785181,Model organism or animal,C57BL/6,1267325068,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070603,Zeb2-KO,47,Illumina HiSeq 2500,CD8_TBET_Zeb2-KO_Input.1,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_TBET_Zeb2-KO_Input.1,female,SRP059792,Splenocytes,P14 CD8+ T cells,
