geneID	symbol	P0205	P0322	P0407	P0508	P1116
100124539	SNORA11B	0	1	0	0	1
100124540	SNORA11C	0	0	0	0	0
100124541	SNORA11D	0	0	0	0	0
100124700	HOTAIR	0	2	0	0	4
100125288	ZGLP1	49	85	83	40	158
100125556	FAM86JP	295	281	498	371	43
100126270	FMR1-AS1	80	154	259	147	43
100126296	MIR298	0	0	1	0	0
100126297	MIR300	0	0	0	0	0
100126299	VTRNA2-1	0	0	0	0	0
100126302	MIR450B	0	0	0	0	0
100126303	MIR890	0	0	0	0	0
100126304	MIR891B	0	0	0	0	0
100126306	MIR888	0	0	0	0	0
100126307	MIR892B	0	0	0	0	0
100126308	MIR541	0	0	0	0	0
100126309	MIR875	0	0	0	0	3
100126310	MIR876	0	0	0	0	0
100126311	MIR147B	603	164	3	54	107
100126313	MIR744	0	0	0	0	0
100126314	MIR877	22	144	44	39	20
100126315	MIR665	0	0	0	0	0
100126316	MIR873	0	0	0	0	0
100126317	MIR374B	0	3	0	0	0
100126318	MIR301B	0	0	0	0	0
100126319	MIR216B	0	0	0	0	0
100126320	MIR920	0	0	0	0	0
100126321	MIR922	18	68	25	25	43
100126324	MIR934	0	0	0	0	0
100126325	MIR935	0	2	0	0	0
100126326	MIR936	0	4	2	0	0
100126327	MIR938	0	0	0	0	0
100126328	MIR940	1	5	13	12	2
100126329	MIR941-1	0	0	0	1	5
100126331	MIR942	0	2	0	0	0
100126332	MIR943	52	164	80	56	37
100126333	MIR708	0	0	0	0	0
100126334	MIR885	0	0	1	0	0
100126335	MIR543	0	0	0	0	0
100126336	MIR208B	0	0	0	0	0
100126338	MIR937	60	283	185	96	56
100126340	MIR944	0	0	0	0	0
100126341	MIR891A	0	0	0	0	0
100126342	MIR892A	0	0	0	0	0
100126343	MIR874	0	0	0	0	0
100126345	MIR889	0	0	0	0	0
100126346	MIR190B	0	0	0	0	0
100126348	MIR760	4	3	5	2	0
100126349	MIR921	0	0	0	0	0
100126350	MIR933	0	0	3	3	0
100126351	MIR939	253	300	113	195	590
100126352	MIR941-3	0	0	0	2	1
100126355	MIR365A	0	0	1	0	0
100126356	MIR365B	0	0	0	0	0
100126780	SNAR-G1	0	0	0	0	0
100126781	SNAR-F	0	0	0	0	0
100126784	LOC100126784	61	44	76	16	5
100126791	EGOT	60	56	56	6	15
100126793	GHRLOS	582	1115	987	596	788
100126798	SNAR-A1	0	0	0	0	0
100126800	SNAR-A12	0	0	0	0	0
100127206	KIAA1024L	0	0	0	0	0
100127888	SLCO4A1-AS1	0	73	1	41	0
100127889	NA	3	15	1	2	11
100127983	C8orf88	6	45	1	20	2
100128023	DPPA2P3	0	1	1	0	0
100128025	WWTR1-AS1	8	14	0	6	7
100128054	PLCE1-AS1	3	26	6	2	11
100128071	FAM229A	98	187	109	122	209
100128076	LOC100128076	0	0	0	0	0
100128081	JAZF1-AS1	23	45	52	29	8
100128098	ST8SIA6-AS1	434	87	388	166	4
100128124	HGC6.3	0	1	0	0	0
100128126	STAU2-AS1	0	3	6	7	22
100128164	LOC100128164	4	9	1	5	3
100128176	UST-AS1	1	8	2	3	0
100128191	TMPO-AS1	251	1855	1067	911	337
100128239	LOC100128239	0	3	4	0	2
100128252	ZNF667-AS1	33	486	443	187	6
100128264	HTR5A-AS1	0	0	0	0	0
100128285	DNM1P35	44	10	70	7	5
100128288	LOC100128288	12	8	8	18	22
100128292	DLG5-AS1	6	52	41	13	34
100128327	TRAPPC3L	6	40	8	5	0
100128338	FAM83H-AS1	8	47	15	10	35
100128361	LOC100128361	46	86	75	67	24
100128378	LINC00696	0	1	2	3	1
100128385	FAM225B	0	16	0	0	0
100128398	LOC100128398	8	34	43	35	57
100128420	LINC00892	6	7	3	0	14
100128496	C20orf78	0	0	0	0	0
100128505	ASTN2-AS1	5	0	1	0	0
100128511	NEBL-AS1	0	56	1	2	0
100128531	LOC100128531	69	238	156	84	17
100128553	CTAGE4	10	34	14	6	2
100128554	LINC02347	0	1	0	0	0
100128568	LOC100128568	4	19	20	26	28
100128569	C19orf71	198	257	187	60	52
100128573	LOC100128573	8	3	9	11	12
100128590	SLC8A1-AS1	2	5	0	0	25
100128593	LOC100128593	1	0	1	2	1
100128627	CDC42P3	0	0	0	4	2
100128640	ACVR2B-AS1	22	34	260	48	21
100128675	HPN-AS1	3720	711	684	1729	514
100128682	LINC01531	0	3	0	0	0
100128714	LINC02346	0	0	0	1	0
100128731	OST4	3449	5340	3510	3960	1113
100128750	RBPMS-AS1	210	293	135	78	48
100128770	LOC100128770	5	6	2	0	4
100128782	LINC00476	199	434	305	98	121
100128787	LINC01349	5	2	0	4	0
100128788	SRRM2-AS1	13	35	39	57	33
100128811	GPR158-AS1	0	0	0	0	0
100128822	LINC01003	723	176	312	192	78
100128881	VPS9D1-AS1	159	484	452	319	231
100128885	LOC100128885	0	0	40	0	0
100128890	FAM66B	12	6	75	2	2
100128893	GATA6-AS1	542	113	516	64	156
100128927	ZBTB42	1083	670	1339	776	119
100128946	LINC01310	3	0	0	0	0
100128977	MAPT-AS1	1	0	0	0	0
100128993	LOC100128993	1	9	4	0	7
100129027	LOC100129027	0	0	0	0	0
100129034	LOC100129034	3575	4750	5078	4214	1695
100129046	LOC100129046	96	349	376	51	58
100129055	LOC100129055	0	0	0	0	2
100129066	UNQ6494	3	10	3	17	10
100129075	KTN1-AS1	40	84	111	57	10
100129083	LOC100129083	9	298	17	5	13
100129128	KHDC1L	1	7	1	3	0
100129138	LOC100129138	118	123	444	6	93
100129148	LOC100129148	823	1069	637	489	610
100129175	LOC100129175	7	7	11	22	4
100129195	ZSCAN16-AS1	229	416	254	490	184
100129196	MATN1-AS1	24	41	55	18	51
100129213	SLC39A12-AS1	0	2	0	1	4
100129216	LOC100129216	0	6	8	1	7
100129239	CXorf51A	0	0	0	0	0
100129250	SMIM27	131	748	221	151	89
100129269	LINC01160	3	9	0	0	57
100129271	C1orf68	0	0	0	0	0
100129316	LOC100129316	0	16	1	0	1
100129345	LINC02291	0	0	1	0	0
100129354	NRADDP	2	4	1	0	0
100129361	SMIM10L1	1038	1944	1174	1468	933
100129385	C9orf92	0	1	0	4	0
100129387	GABPB1-AS1	776	584	951	1097	657
100129396	FAM106CP	0	0	0	0	0
100129405	MSTO2P	435	417	256	802	351
100129407	FAM236A	0	0	0	0	0
100129424	RPL19P12	18	34	36	45	178
100129427	DDC-AS1	106	63	298	111	34
100129460	DPY19L1P1	189	190	295	64	120
100129464	LINC01546	2	3	0	0	1
100129480	MKRN2OS	33	11	3	17	33
100129482	ZNF37BP	148	467	237	314	845
100129515	LINC00633	0	0	0	0	0
100129518	LOC100129518	410	231	191	865	58
100129520	TEX13C	0	0	830	11	3
100129534	LOC100129534	133	25	58	36	58
100129543	ZNF730	2	56	55	4	3
100129550	LINC02035	99	495	166	90	70
100129583	FAM47E	401	67	469	212	106
100129597	LINC00462	0	1	0	0	0
100129617	LOC100129617	2	13	4	3	2
100129620	LOC100129620	0	0	0	1	0
100129636	LOC100129636	0	0	2	0	0
100129654	TCF24	2	16	17	4	21
100129662	FGF13-AS1	2	5	0	2	0
100129669	IZUMO3	0	0	0	0	0
100129716	ARRDC3-AS1	28	44	23	11	8
100129722	STPG3-AS1	411	11	234	126	46
100129726	LINC01126	11	15	197	44	10
100129792	CCDC152	98265	8549	65951	116096	8357
100129794	SLC25A21-AS1	56	61	146	148	81
100129827	MRVI1-AS1	8	49	9	4	2
100129842	ZNF737	46	1081	329	117	170
100129845	PCOLCE-AS1	695	459	719	307	34
100129858	SCOC-AS1	11	16	44	11	6
100129917	LOC100129917	35	138	106	73	65
100129924	TMEM269	0	18	9	1	2
100129931	LOC100129931	968	3011	1533	823	451
100129935	LOC100129935	0	0	0	0	0
100129961	CCNT2-AS1	783	193	570	1146	23
100129973	CERNA1	89	189	166	105	32
10013	HDAC6	4460	1984	4917	2823	2725
100130000	NA	0	9	4	1	4
100130015	URAHP	569	507	2472	859	291
100130017	FTLP10	0	0	0	0	0
100130075	LOC100130075	1	1	74	256	16
100130086	HSFX2	1	0	0	0	0
100130093	NA	1214	903	1253	628	1200
100130148	MAPT-IT1	10	1	2	42	0
100130155	MIR124-2HG	0	0	0	0	0
100130197	EFCAB14-AS1	138	445	316	36	25
100130231	LINC00861	19	45	11	7	11
100130238	LOC100130238	101	0	135	2	0
100130264	LOC100130264	1	2	0	0	2
100130274	CCDC166	1	0	4	1	0
100130275	TFAP2A-AS1	18	10	143	1	62
100130298	LOC100130298	0	16	2	4	4
100130301	C8orf89	2	0	0	0	13
100130302	SUPT20HL1	0	0	0	0	0
100130311	C17orf107	183	692	551	301	29
100130331	LOC100130331	3	4	0	1	1
100130342	SCGB2B3P	2	1	0	2	0
100130348	TMEM262	17	29	5	34	36
100130357	LOC100130357	7	96	13	13	33
100130370	LOC100130370	8	2	4	4	0
100130386	LINC00552	5	1	3	1	0
100130417	LOC100130417	16	14	13	0	8
100130418	CECR7	4	370	51	122	0
100130449	PP14571	1	2	1	0	0
100130451	LOC100130451	3	3	3	0	0
100130452	LOC100130452	0	0	0	0	2
100130476	LOC100130476	5	55	35	10	24
100130480	LINC01387	0	0	0	0	0
100130519	TMEM221	19	12	30	8	0
100130522	PARD6G-AS1	117	6	169	237	7
100130539	C10orf142	2	9	1	2	1
100130557	NFYC-AS1	185	501	328	319	119
100130581	LINC00910	165	174	695	401	134
100130613	PRR32	0	0	3	0	0
100130673	LOC100130673	3	7	67	0	3
100130691	LOC100130691	40	51	73	23	29
100130700	TP53TG3HP	0	0	61	3	0
100130705	LOC100130705	166	42	19	16	212
100130717	HDHD5-AS1	10	16	41	29	8
100130733	LRRC70	83	78	54	57	89
100130742	LRRC69	27	59	92	13	132
100130744	LOC100130744	946	970	707	636	643
100130771	EFCAB10	537	267	372	254	572
100130776	AGAP2-AS1	83	466	56	85	41
100130827	SBK3	3	16	0	8	1
100130849	LOC100130849	0	0	9	0	0
100130855	USP3-AS1	202	468	360	61	164
100130872	LOC100130872	838	431	557	408	71
100130880	LOC100130880	0	0	0	0	1
100130889	PSORS1C3	14	252	87	13	23
100130890	TSTD3	79	77	88	34	58
100130894	VAC14-AS1	113	226	197	76	95
100130899	LOC100130899	25	11	0	0	31
100130933	SMIM6	51	179	53	55	34
100130934	ZNF663P	1	0	0	0	0
100130935	CSAG4	34	109	42	55	0
100130950	LOC100130950	33	229	52	66	56
100130954	LINC01502	1	0	0	0	0
100130958	SYCE1L	60	211	255	101	107
100130964	LOC100130964	0	0	0	0	0
100130967	C6orf99	1	10	4	0	1
100130987	LOC100130987	19	101	47	29	13
100130988	C7orf72	0	0	0	0	0
100130992	LOC100130992	5	43	85	15	8
100131047	LOC100131047	0	0	1	0	0
100131060	LINC01135	49	5	11	20	0
100131067	CKMT2-AS1	426	217	436	527	317
100131089	SRP14-AS1	226	96	273	77	187
100131094	DPP9-AS1	737	694	406	509	241
100131096	TNRC6C-AS1	76	445	55	68	280
100131117	ZBTB20-AS1	23	40	11	40	49
100131137	BSPH1	0	0	0	0	0
100131138	LINC01405	0	0	1	0	0
100131176	WDR86-AS1	0	22	0	14	0
100131187	TSTD1	4755	596	2175	10523	322
100131193	CCDC183-AS1	50	147	98	55	221
100131208	SNAP25-AS1	21	74	21	3	0
100131211	NEMP2	95	374	359	155	54
100131213	ZNF503-AS2	133	193	134	140	83
100131234	MIR181A1HG	0	2	1	0	0
100131244	ANKRD63	0	1	0	0	0
100131257	LOC100131257	1	0	1	0	11
100131289	LOC100131289	13	10	24	3	6
100131320	RAB6C-AS1	14	18	5	2	5
100131347	LOC100131347	42	182	80	92	72
100131366	LINC00605	30	15	14	1	0
100131378	C11orf91	11	42	2	6	16
100131390	SP9	0	2	0	0	0
100131434	LINC00893	87	183	245	224	177
100131439	CD300LD	0	1	0	0	0
100131454	DBIL5P	1	12	11	15	5
100131496	LOC100131496	5	8	30	16	1
100131551	LINC00887	3	22	7	1	33
100131561	FKSG29	0	4	3	0	3
100131564	CCDC18-AS1	262	316	550	283	1292
100131626	LOC100131626	40	212	160	27	7
100131635	LOC100131635	0	0	0	1	6
100131655	LOC100131655	318	66	141	33	60
100131691	MZF1-AS1	250	513	495	218	147
100131726	FAM83A-AS1	18	0	24	11	0
100131733	USP30-AS1	203	189	216	247	167
100131755	ARMCX4	128	154	186	92	94
100131801	PET100	645	484	537	835	637
100131814	LINC00271	5	15	19	1	4
100131816	UBE2DNL	0	0	2	0	0
100131825	CADM3-AS1	6	533	6	20	3
100131827	ZNF717	72	77	178	42	30
100131897	FAM196B	2	15	4	0	0
100131902	KRTAP25-1	0	0	0	0	0
100131980	ZNF705G	0	0	0	0	0
100131998	RRN3P3	39	189	103	48	275
100132062	LOC100132062	1	0	8	4	4
100132077	LOC100132077	5	28	16	3	4
100132078	LOC100132078	0	0	0	0	2
100132101	HERC2P7	1	0	10	1	0
100132103	FAM66E	0	1	0	2	0
100132111	LOC100132111	243	406	150	270	44
100132146	LOC100132146	3	0	11	0	0
100132163	PHKA2-AS1	607	1324	690	813	2077
100132215	LOC100132215	612	672	584	471	353
100132247	NPIPB5	8	34	20	17	216
100132273	NDUFA6-AS1	89	104	109	69	18
100132285	KIR2DS2	0	1	0	0	0
100132288	TEKT4P2	26	26	81	27	10
100132341	CLUHP3	76	96	209	89	185
100132352	FRG1HP	85	100	110	77	74
100132354	LINC01512	4	1	1	5	28
100132356	LOC100132356	28	101	48	137	323
100132386	KRTAP4-9	0	0	0	0	0
100132396	ZNF705B	0	0	0	0	0
100132399	GAGE12D	0	884	37	2	0
100132403	FAM157B	0	0	0	0	0
100132406	NBPF10	5951	1776	2108	3442	2951
100132417	FCGR1CP	0	11	1	0	2
100132463	CLDN24	0	2	1	1	0
100132464	FAM99B	8	8	70	22	0
100132476	KRTAP4-7	0	0	0	0	0
100132526	FGD5P1	4	127	191	14	0
100132565	GOLGA8F	0	0	0	0	0
100132594	PGAM1P5	0	10	2	0	5
100132596	XGY2	0	0	0	0	0
100132618	ZRANB2-AS1	190	352	479	237	103
100132677	BSN-AS2	3	2	68	8	0
100132707	PAXIP1-AS2	471	463	872	246	363
100132708	CYP4F30P	0	0	1	1	0
100132724	DCAF13P3	12	6	15	3	8
100132735	LOC100132735	3	3	1	0	0
100132774	KDM4A-AS1	552	669	431	290	188
100132781	LOC100132781	1	3	5	1	0
100132831	LOC100132831	1	0	12	3	0
100132832	PMS2P9	9	27	36	15	65
100132891	MSC-AS1	94	2612	27	21	17
100132911	DPH3P1	39	45	120	62	47
100132916	FAM159B	5	30	3	8	61
100132923	FAM66D	2	3	14	0	3
100132948	FAM27C	0	1	0	1	0
100132963	SMIM9	0	0	0	1	0
100132979	GOLGA8DP	0	0	0	0	0
100132987	LINC00856	1	3	3	2	0
100132994	CXorf49B	15	0	56	1	0
100133036	FAM95B1	0	0	0	0	0
100133050	LOC100133050	1	0	10	0	0
100133053	CXorf51B	0	0	0	0	0
100133091	LOC100133091	73	155	156	80	86
100133121	FAM27B	0	0	2	0	0
100133123	LINC01203	0	0	0	1	0
100133144	NA	0	0	2	2	1
100133161	LINC01001	2	3	2	0	0
100133172	FAM66A	2	3	2	0	0
100133205	LINC00240	73	45	32	75	0
100133234	SBF1P1	1	1	0	0	0
100133286	LOC100133286	2189	2223	2888	10480	317
100133308	RSU1P2	0	1	0	0	0
100133311	HOXA-AS3	7	376	0	5	15
100133315	LOC100133315	46	70	89	62	89
100133331	LOC100133331	9	14	36	5	23
100133445	NA	735	805	979	241	219
100133461	LINC02171	0	0	0	0	0
100133545	MRPL23-AS1	3	6	69	74	4
100133612	LINC01134	9	21	92	6	28
100133669	LOC100133669	23	6	32	98	2
100133920	LOC100133920	0	0	1	0	0
100133941	CD24	1218	25624	40	1988	11955
100133957	UXT-AS1	680	1781	697	1284	336
100133985	LINC01816	140	48	487	77	31
100133991	MAP3K14-AS1	76	132	224	104	201
100134015	UBOX5-AS1	42	118	106	144	101
100134229	JHDM1D-AS1	251	133	374	109	50
100134259	LINC01119	7	21	5	1	12
100134317	LOC100134317	6	0	2	3	4
100134368	LOC100134368	51	19	80	58	8
100134713	NDUFB2-AS1	6227	2831	1397	1960	825
100134868	LOC100134868	2	89	83	4	18
100134869	UBE2Q2P2	0	0	2	0	1
100137047	JMJD7	553	514	556	495	186
100137049	PLA2G4B	669	625	656	671	796
10014	HDAC5	2001	4049	1331	3320	1973
100141515	C17orf99	13	1	2	0	3
100144595	LOC100144595	0	0	1	0	5
100144596	LINC00029	0	0	2	0	0
100144597	LINC01056	0	0	0	0	0
100144602	EPHA5-AS1	0	0	0	0	0
100144603	CHKB-AS1	49	56	68	62	46
100144604	LINC00930	2	9	1	0	3
100144748	KLLN	57	36	93	65	21
10015	PDCD6IP	3698	5598	3867	3295	1169
100151643	KRTAP20-4	0	0	0	0	0
100151683	RNU4ATAC	1	0	0	1	8
100151684	RNU6ATAC	0	1	0	4	0
100158262	SCARNA9L	4	1	4	0	33
10016	PDCD6	3043	3218	1596	2104	3768
100169752	TEX36-AS1	0	0	0	0	0
100169851	PATE3	0	1	0	0	4
100169890	PEG3-AS1	6	13	15	0	4
100169951	SNAR-A3	0	0	0	0	0
100169989	DBIL5P2	4	2	2	0	4
10017	BCL2L10	39	250	175	932	79
100170217	SNAR-B2	0	0	0	0	0
100170218	SNAR-C2	0	0	0	0	0
100170219	SNAR-C4	0	0	0	0	0
100170220	SNAR-E	0	0	0	0	0
100170221	SNAR-H	0	0	0	0	0
100170222	SNAR-I	0	0	0	0	0
100170226	SNAR-C3	0	0	0	0	0
100170227	SNAR-D	0	0	0	0	0
100170228	SNAR-G2	0	0	0	0	0
100170229	SRRM5	1034	1810	739	935	463
100170765	ERICH4	0	0	3	3	0
100170841	EPOP	367	389	58	228	19
10018	BCL2L11	1239	2726	1749	1446	479
100187716	MIR1224	0	1	8	6	8
100188847	MIR1225	5	13	13	8	9
100188893	TOMM6	2760	5642	1956	2572	3426
100188947	HECTD2-AS1	0	23	3	2	5
100188949	LINC00426	19	14	24	27	26
100188953	LINC00092	5	16	5	1	2
100188954	DNMBP-AS1	171	105	68	83	26
100189589	DCTN1-AS1	1	9	5	0	0
10019	SH2B3	1665	4544	1633	1169	570
100190938	RAMP2-AS1	119	274	88	208	128
100190939	TPT1-AS1	95	379	247	99	304
100190940	LINC02418	0	0	768	0	2
100190949	C5orf52	0	3	0	0	0
100190986	LOC100190986	0	1	2	1	12
100191040	C2CD4D	98	209	67	162	23
100192204	PPIAP30	0	3	2	4	83
100192378	ZFHX4-AS1	9	2	16	0	0
100192379	PP12613	0	6	2	0	3
100192386	FLJ16779	0	30	1	0	3
100192420	LINC01634	3	0	2	2	5
100192426	LOC100192426	0	1	0	0	0
1002	CDH4	23	15	35	14	149
10020	GNE	3218	2132	3087	4511	350
10021	HCN4	0	50	2	0	0
100216001	LINC00704	2	31	0	26	4
100216479	FAR2P2	16	31	13	5	2
100216545	KMT2E-AS1	264	122	499	513	296
100216546	LINC01004	155	258	229	144	959
10022	INSL5	0	0	0	0	4
10023	FRAT1	748	687	374	1233	363
100233156	LOC100233156	90	191	93	66	47
100233209	PCED1B-AS1	68	302	40	22	76
10024	TROAP	190	695	302	854	1666
100240734	LOC100240734	0	1	0	0	0
100240735	LOC100240735	1	13	1	2	7
10025	MED16	1912	2846	1702	2542	1138
10026	PIGK	1835	2243	2750	1048	742
100268168	LOC100268168	6	13	12	8	6
100270679	LINC01432	1	0	2	0	0
100270746	LOC100270746	60	102	34	184	5
100270804	LOC100270804	16	29	116	78	31
100271702	LINC00940	35	6	4	1	1
100271715	ARHGEF33	9	33	8	7	0
100271722	LINC00899	53	90	214	74	78
100271832	LOC100271832	0	3	0	0	2
100271835	LIMS3-LOC440895	27	31	56	8	6
100271836	SMG1P3	14	71	26	25	108
100271846	ERVV-2	0	1	0	0	0
100271849	MEF2B	67	110	103	122	241
100271873	AIRN	0	4	0	0	17
100271927	RASA4B	201	331	151	65	206
100272147	CMC4	859	337	1063	532	805
100272216	NA	0	0	0	2	3
100272217	LOC100272217	25	21	88	86	5
100272228	LINC00894	43	109	127	122	229
100286793	NA	18	20	67	47	23
100286844	BCDIN3D-AS1	142	233	217	98	76
100286922	LOC100286922	7	19	3	4	9
100286938	VPS13A-AS1	2	51	14	4	0
100286979	ANAPC1P1	5	54	7	3	6
100287010	LOC100287010	0	0	0	0	0
100287015	LOC100287015	43	84	106	46	41
100287029	DDX11L10	0	0	0	0	1
100287036	LOC100287036	1	16	0	4	1
100287042	LOC100287042	100	468	161	266	313
100287072	LOC100287072	0	55	0	0	0
100287102	DDX11L1	1	0	0	0	0
100287114	LINC00421	0	0	0	0	0
100287144	USP17L10	0	0	0	0	0
100287171	WASHC1	77	16	21	108	162
100287177	EML2-AS1	20	89	35	13	7
100287178	USP17L11	0	0	0	0	0
100287205	USP17L12	0	0	0	0	0
100287216	SH3RF3-AS1	10	114	20	12	2
100287225	LINC01630	97	6	78	0	1
100287226	ZNF729	0	65	81	5	0
100287227	TIPARP-AS1	76	156	166	144	24
100287238	USP17L13	0	0	0	0	0
100287284	MANSC4	0	6	0	1	4
100287314	LINC00941	2	309	5	2	0
100287327	USP17L17	0	0	0	0	0
100287362	PRSS46	2	2	8	2	4
100287404	USP17L19	0	0	0	0	0
100287428	NA	30	37	2	0	0
100287441	USP17L20	0	0	0	0	0
100287466	NA	2	0	4	0	0
100287482	SMKR1	236	175	1	8	6
100287534	NA	0	0	0	0	0
100287559	ADPGK-AS1	94	732	339	64	34
100287569	LINC00173	5	4	0	3	339
100287596	DDX11L5	4	2	6	5	24
100287616	LOXL1-AS1	47	381	25	16	19
100287632	LOC100287632	0	2	0	0	0
100287639	MTHFD2P1	1	0	2	0	2
100287718	ANKRD66	0	1	0	0	0
100287722	AP4B1-AS1	171	247	196	140	60
100287765	LINC00630	24	105	158	29	43
100287792	LOC100287792	0	0	0	48	0
100287814	LINC00582	3	2	1	0	0
100287834	LOC100287834	1	0	31	0	0
100287846	LOC100287846	2	25	0	12	22
100287879	LINC00994	0	1	0	0	0
100287898	TTC34	0	4	19	0	6
100287902	LGALS8-AS1	138	134	78	51	20
100287932	TIMM23	1123	962	570	999	1353
100287944	LOC100287944	16	172	30	28	10
100287948	LINC01699	0	0	0	0	0
100288069	LOC100288069	15	11	25	2	9
100288077	WTAPP1	5	223	16	54	8
100288079	GS1-279B7.1	0	4	0	0	2
100288122	LDLRAD4-AS1	5	5	7	6	4
100288123	LOC100288123	86	158	64	109	50
100288142	NBPF20	223	170	135	737	317
100288181	LOC100288181	12	678	10	132	4
100288198	HMGN3-AS1	287	603	496	378	528
100288255	NA	0	0	0	0	0
100288287	KRTAP22-2	0	0	0	0	1
100288323	KRTAP21-3	0	0	0	0	0
100288332	NPIPA5	11	4	4	6	142
100288346	NCAM1-AS1	11	3	175	13	15
