gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
FAM64A,-1.405879624,1.880373732,-3.768607035,0.000261403,0.039204095,0.326121473
C5AR1,-3.242190386,3.640772626,-3.755077833,0.000274284,0.040640343,0.283740882
ESPL1,2.206179307,2.233544427,3.751039517,0.000278245,0.040736325,0.271113317
PLD3,-2.488547154,7.123699853,-3.744909129,0.00028436,0.041141914,0.251963842
ANKRD12,1.60581581,7.72282087,3.740410084,0.00028893,0.041316923,0.237925446
CASP10,-2.586334726,4.142345783,-3.731774494,0.000297896,0.041673035,0.211015996
ECH1,-1.139831031,7.476782645,-3.728392979,0.000301478,0.041673035,0.200491819
INTS2,2.772047881,3.967951669,3.727980539,0.000301918,0.041673035,0.199208698
HSPA8,-2.145680173,13.0957653,-3.725129606,0.000304974,0.041673035,0.190342275
DIABLO,2.226272239,3.744420776,3.708238523,0.000323693,0.043724091,0.13791782
TRAV26-1,-1.738054849,3.146262959,-3.705267944,0.000327095,0.043724091,0.128717057
ANKAR,2.423506865,3.500046824,3.695877031,0.000338076,0.044518676,0.099667975
DUSP4,-3.456163915,5.72305688,-3.691423889,0.000343405,0.044518676,0.085912852
FCGBP,1.963903618,2.626555122,3.691013824,0.000343899,0.044518676,0.084646863
GLIPR2,-2.470447247,6.47580753,-3.683359014,0.000353258,0.045253828,0.061034184
LGALS1,-2.412583995,6.02954182,-3.664187673,0.000377767,0.04789463,0.002062961
CKAP4,2.570817396,4.159410533,3.660653052,0.000382458,0.047994589,-0.008783555
TREM2,-2.778830562,2.789618034,-3.656161004,0.000388499,0.048260266,-0.022556374
EMP2,-2.308449275,2.2830681,-3.651320022,0.000395111,0.048590774,-0.037384358
CD34,-1.807658852,1.881090025,-3.641118168,0.000409395,0.049615418,-0.06858281
GPR56,-3.344548959,3.43760653,-3.639635072,0.000411512,0.049615418,-0.073112645
SRSF5,1.342697796,10.11772011,3.632634231,0.000421644,0.0496878,-0.094476008
RABAC1,-1.55582315,7.069586556,-3.631448483,0.000423384,0.0496878,-0.098091199
SLC25A45,2.283981539,5.77465275,3.629486114,0.000426277,0.0496878,-0.10407219
NDUFB8,1.544485545,4.023318131,3.628139725,0.000428273,0.0496878,-0.108174313
