gene_name,p-value,log2FoldChange
Hist1h4m,0.00158584,-2.07184
Lmnb1,0.00208582,-2.07234
Abcb9,1.13E-05,-2.07524
Il12rb2,0.0332842,-2.07693
Foxm1,0.000534176,-2.07779
Gm19951,0.0249946,-2.08064
Kif15,0.000259181,-2.08118
Hid1,0.0137536,-2.08202
Gzme,0.0144531,-2.08253
Ighv8-9,0.00129505,-2.08427
Kif23,0.000299766,-2.08869
Esm1,0.0145678,-2.09093
,0.0100559,-2.09203
Myadm,0.00439137,-2.09591
Cmtm7,2.25E-05,-2.0965
Rad51ap1,4.68E-05,-2.09798
Smc2,3.53E-05,-2.10056
10-Sep,6.03E-05,-2.1051
Fignl1,0.000231718,-2.10853
Pik3ap1,3.53E-05,-2.11388
Igkv4-62,0.0355245,-2.11857
Orc1,0.00169205,-2.12075
Faxc,0.000650655,-2.12208
Lat2,1.94E-05,-2.12395
Mad2l1,1.15E-05,-2.12595
Ccnf,0.000122366,-2.12757
,0.00206218,-2.13104
Cenpk,0.00384621,-2.13159
Top2a,0.000152603,-2.13695
Ckap2l,0.00086597,-2.13932
Anp32e,0.00129955,-2.1422
Bub1b,0.000651462,-2.14283
Cenpn,0.000301446,-2.14302
Cdc45,3.95E-05,-2.14407
Cdc6,0.0089383,-2.15197
Rad51,0.000357971,-2.15203
Paqr4,0.000417025,-2.15271
Zfp652,0.00365055,-2.15321
,0.000523315,-2.15506
Glipr1,1.85E-05,-2.15668
Espl1,5.03E-05,-2.15853
Asf1b,0.000219384,-2.16075
Cdca5,0.000237135,-2.16676
Pag1,0.000684887,-2.16727
Kifc1,4.4E-05,-2.16853
Igkv3-4,0.0254924,-2.16864
,0.0188776,-2.17189
Brip1,0.000933867,-2.17677
Gins1,0.000462489,-2.17854
Cit,7.46E-06,-2.17997
Mb21d1,0.00169264,-2.18022
,0.0485852,-2.18453
,0.00154165,-2.185
Cenpf,0.00039214,-2.18717
Ccna2,0.000100393,-2.19319
Spdl1,0.00175203,-2.19502
Gm14005,0.000607408,-2.19519
Cep55,0.000214371,-2.20253
Plxnd1,0.000267985,-2.20254
Aurka,0.000559889,-2.20414
Ccl5,1.04E-05,-2.20438
Hist1h4m,0.00594518,-2.20776
Igkv1-133,0.0455616,-2.20959
4930579G24Rik,0.000332259,-2.20971
Spag5,0.000245117,-2.20976
Cenpe,0.000125225,-2.21469
Dlgap5,0.000328328,-2.21476
Mastl,0.000927223,-2.22026
Coro2a,8.29E-05,-2.22571
Gmnn,0.000897534,-2.22747
Aspm,0.00162476,-2.23117
Hist2h3b,0.0456952,-2.23122
Agpat4,1.9E-05,-2.23131
Dgkh,0.00340586,-2.23131
,0.0397428,-2.23231
,0.0226891,-2.23297
,0.0217978,-2.23314
Stmn1,9.06E-05,-2.23363
Fbxo48,0.000495117,-2.23497
Cdc25c,0.000101447,-2.24141
Maf,0.00203693,-2.24301
Plekhg3,0.000231775,-2.25066
Glp1r,0.045485,-2.2563
Ncapg,5.3E-05,-2.26298
,0.000394538,-2.26469
Agfg2,1.12E-05,-2.26499
,0.00249791,-2.26572
,0.00249791,-2.26572
,0.0174889,-2.27407
Lair1,0.00939253,-2.27763
Ska2,0.000622019,-2.27923
Tacc3,5.04E-05,-2.27932
Igkv4-70,0.0372264,-2.28648
Fgl2,0.00330286,-2.28685
Itih5,0.00380385,-2.28714
Ighv8-6,0.0360972,-2.28806
Mt2,0.0187729,-2.28837
Pif1,0.000143885,-2.29009
Dock5,0.00138334,-2.29454
Gm23521,0.0332861,-2.3048
Igkv3-12,0.00222359,-2.31106
Stk32c,0.000579442,-2.31409
Ighg2c,0.0173184,-2.32049
Cish,0.00120771,-2.32366
Hist1h4m,0.0403781,-2.32426
Kif18b,0.000230183,-2.32666
Igj,0.000767629,-2.33057
,0.017929,-2.33696
Igh-V10,0.0347091,-2.33817
Neil3,0.000405273,-2.34026
Rad54l,1.3E-05,-2.34685
Hist1h2ab,0.000528547,-2.3511
2810417H13Rik,6.21E-05,-2.3537
Spc25,0.000308472,-2.35832
C330027C09Rik,0.000446722,-2.35898
Dscc1,2.52E-05,-2.36206
2610020H08Rik,2.02E-05,-2.36564
Kif14,0.00422842,-2.36668
Kif2c,0.000226479,-2.3745
Parpbp,0.00079014,-2.37736
Igh-VX24,0.0299302,-2.37775
,0.0362474,-2.38197
Ttk,6.11E-05,-2.38258
Igkv6-32,0.000749683,-2.38272
Mis18bp1,0.000265503,-2.38569
Arhgap11a,0.000290368,-2.38584
Ighv1-4,0.00542288,-2.39004
Mybl1,0.000464677,-2.39102
D430020J02Rik,0.00795079,-2.39231
Sgol1,2.38E-05,-2.39563
Arhgap19,0.00335967,-2.39733
Igkv8-30,0.00127889,-2.39905
Aurkb,3.51E-05,-2.40077
Ccnb1,0.000123342,-2.40271
Itga2,0.0131133,-2.4079
Stil,0.000209523,-2.40935
Ildr1,0.000159406,-2.41539
,0.0291246,-2.42213
Arsb,6.95E-05,-2.42374
Ighv1-15,0.0001064,-2.42485
Casc5,2.86E-05,-2.42792
Depdc1a,0.000997288,-2.43256
Kif4,5.5E-05,-2.43738
Irf8,3.01E-05,-2.43817
Ncaph,0.000100392,-2.44155
Gsg2,0.000110484,-2.45156
Slc16a10,2.35E-05,-2.45774
Klrb1b,0.0108999,-2.45999
Hist2h2bb,3.03E-06,-2.46275
Igfbp7,0.000128978,-2.46369
Il10,0.0287445,-2.46783
Slfn3,0.00026629,-2.46974
,0.00630297,-2.47136
F2r,7.2E-05,-2.47492
Nuf2,0.000229496,-2.47956
,0.00852183,-2.48459
Plk1,0.000102383,-2.48851
Hmmr,0.00110515,-2.48997
Bard1,0.000178866,-2.49449
Kif22,1.05E-05,-2.51523
E2f8,0.00111948,-2.51559
Gna15,0.00125771,-2.51566
Clspn,0.000164385,-2.51829
Gas2l3,0.00068432,-2.52043
,0.00417377,-2.52182
Mir3098,0.0135457,-2.52637
Id2,2.2E-05,-2.53547
Kntc1,0.00012509,-2.54011
Hist1h3d,0.00800161,-2.54122
Depdc1b,0.00011344,-2.55345
Ncapg2,0.000378708,-2.55902
Nsl1,1.87E-06,-2.56527
Gzmf,0.000798945,-2.58365
Igh-V3660,0.0186873,-2.58433
Kif11,0.000193422,-2.58875
Gp49a,0.00437255,-2.59158
Serpine2,2.06E-05,-2.59167
Gm5593,0.000469339,-2.59392
P2ry13,0.000443088,-2.59449
Bspry,6.33E-05,-2.60578
P2ry12,0.000922583,-2.6106
Cpd,0.00990774,-2.62165
Gm26827,0.00846382,-2.62254
L1cam,0.00234842,-2.6231
E2f7,0.000283741,-2.62814
Cdk1,0.00032938,-2.63053
Ect2,0.000264584,-2.63155
Ska3,0.00250135,-2.63391
Fbxo5,0.000792366,-2.64597
Gm26527,0.000150783,-2.64609
Hist1h3c,0.0161872,-2.6475
Ggt1,0.0015364,-2.65058
Kcnk5,0.000170577,-2.6545
2810025M15Rik,0.000108489,-2.65542
Neto2,0.0168421,-2.6805
Lyst,0.000607071,-2.69146
Ighv1-62-2,0.0223861,-2.69776
Ighv1-62-2,0.0223861,-2.69776
,0.0354174,-2.70115
,0.0301533,-2.70998
Ighv14-2,0.00107096,-2.71645
Chit1,0.00019779,-2.71673
Ccr9,0.00959092,-2.71912
Hist1h2bb,4.26E-06,-2.72289
Gpr55,0.00607782,-2.73054
Ighv1-78,0.043767,-2.73672
Cmklr1,0.000284084,-2.73894
Serpinb9,9.71E-05,-2.75596
Bub1,0.000284611,-2.75878
Prr11,0.000494215,-2.761
Rrm2,0.000314032,-2.76384
Shcbp1,0.00059115,-2.76869
Anln,0.000113104,-2.78463
Birc5,0.000401934,-2.79239
,0.000159334,-2.79502
Hist1h2ag,0.00027927,-2.83064
Ighv1-73,0.0244169,-2.83172
Esco2,0.000831611,-2.85748
D1Ertd622e,6.15E-05,-2.87193
Igkv4-50,0.00490396,-2.88986
Nek2,0.000456855,-2.96103
Cdkn3,0.00023465,-2.96181
Tubb3,0.000410006,-2.96736
Igkv4-79,0.000774092,-2.96743
Cdkn2c,5.1E-05,-3.0243
Snx9,2.35E-05,-3.04612
Prr5,0.000179389,-3.05708
Mtfr2,4.57E-05,-3.06992
Ccl3,6.08E-06,-3.07792
Adamts14,6.31E-07,-3.08172
Prc1,7.08E-06,-3.08291
,0.041884,-3.10374
Hist1h2bg,0.000279443,-3.14726
Filip1,0.00015762,-3.16474
Ighv14-4,0.00214083,-3.18107
Hist1h1a,0.00392709,-3.18694
Gzmc,0.000445102,-3.22221
Hist1h2bk,2.55E-05,-3.22409
Neb,4.21E-05,-3.24403
Ermn,0.00207163,-3.26198
Trgj1,0.0369246,-3.28894
Irak3,0.000748426,-3.29447
Ighv1-34,0.0192853,-3.30144
Ighv14-1,0.00419064,-3.35367
I830127L07Rik,0.00155572,-3.39693
Cx3cr1,0.000794678,-3.47198
Tmem163,0.000427966,-3.50501
,0.039079,-3.5212
Anxa1,0.0122512,-3.56448
Ighg2b,0.0129441,-3.56713
Hist1h1b,4.29E-06,-3.56846
Igh-VS107,0.0416876,-3.57326
Trgv2,0.000152253,-3.57827
Epas1,0.000610363,-3.58099
Ighv5-4,0.0287213,-3.64766
Ighv8-13,0.0123323,-3.66718
Igkv3-7,0.0346468,-3.67823
F2rl2,0.00217289,-3.75477
LOC102638993,6.92E-05,-3.76818
Tcrg-V4,0.00782377,-3.77917
1700017B05Rik,8.01E-06,-3.79294
Cdkn1a,0.0106556,-3.85902
Heatr9,6.9E-06,-3.87147
Ighg1,0.0046085,-3.94085
Adam8,1.97E-05,-3.94622
Igh-VJ558,0.00913793,-3.9662
Sema4a,0.000148056,-3.98285
Lamc1,8.1E-06,-4.02078
Tcrg-C2,0.000705714,-4.05557
Igkv10-94,0.00362599,-4.14733
Serpinb9b,0.000931154,-4.15748
Ighv1-52,0.00435515,-4.33212
Trgj3,0.013849,-4.36904
Il2ra,0.000246621,-4.48162
LOC102643064,2.94E-06,-4.48837
Ighv1-80,0.00963793,-4.58141
Chn2,4.99E-05,-4.59933
AA467197,0.000312168,-4.6044
Itgax,0.00101704,-4.60793
1500009L16Rik,2.43E-05,-4.6409
Itga1,0.000997301,-4.76581
Glrx,3.53E-05,-5.01431
Fcer1g,0.000804409,-5.25635
Prdm1,2.34E-06,-5.27575
Cxcr6,3.64E-06,-5.40483
Ccr2,6.7E-05,-5.49692
Tcrg-C3,0.00145153,-5.52945
Ulbp1,7.37E-06,-5.61336
Prf1,7.39E-06,-5.68483
Trgv2,0.00172391,-5.7019
LOC102642252,9.06E-05,-6.20702
Cd244,9.65E-05,-6.45264
Fasl,1.88E-05,-6.65069
Ccr5,2.61E-07,-6.79329
Ighv9-2,8.43E-05,-6.80069
2310031A07Rik,3.86E-06,-7.05035
Igkv1-117,0.0104424,-7.18673
Klrg1,0.000177274,-7.22929
Igkv17-127,0.00628162,-7.33473
,1.07E-08,-7.42467
Ccl4,1.6E-06,-7.43019
Igkv12-46,0.0222376,-7.49478
Entpd1,2.45E-05,-7.96043
Igh-VJ558,0.0207535,-8.02124
Sytl2,3.24E-06,-8.51959
Itgam,9.33E-05,-9.16133
Gpr56,1.86E-07,-9.43619
Igkv10-96,0.0120145,-9.57304
Gzmb,1.43E-05,-9.97683
,8.37E-08,-10.1417
Ighv8-8,0.00254872,-10.5651
LOC544905,0.00059138,-14.0147
,1.25E-06,-14.2771
,1.25E-06,-14.2771
,1.25E-06,-14.2771
Gzma,3.86E-06,-15.2996
Havcr2,3.62E-06,-17.6439
