gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"	Pou6f1",191.3358804,2.895305609,0.387690054,7.468093598,8.14E-14,2.62E-11
"	Dapl1",283.8494317,2.971335773,0.398783565,7.45099857,9.26E-14,2.90E-11
"	Aff3",252.5426116,2.24379738,0.302990924,7.405493702,1.31E-13,3.97E-11
"	Ifit3",419.9449624,2.636122427,0.35609928,7.402773821,1.33E-13,3.97E-11
"	Il16",1219.619232,1.268339975,0.171922755,7.377382818,1.61E-13,4.68E-11
"	Cd40lg",336.1922875,3.090274324,0.420031397,7.357246013,1.88E-13,5.32E-11
"	Armc3",691.8944971,1.857003293,0.253277729,7.331885444,2.27E-13,6.28E-11
"	Ikzf2",567.9424562,2.874867323,0.39394173,7.297696843,2.93E-13,7.92E-11
"	Rab37",702.7356879,1.585008591,0.217896141,7.274147133,3.49E-13,9.22E-11
"	Tnfrsf13b",667.835473,1.108941165,0.152911375,7.252182284,4.10E-13,1.06E-10
"	Mt1",3182.218674,-2.484223005,0.342713536,-7.248686572,4.21E-13,1.07E-10
"	P2ry12",406.0698641,-2.682932416,0.37293929,-7.194019218,6.29E-13,1.56E-10
"	Txk",1167.531316,1.23492199,0.172461989,7.160545931,8.04E-13,1.95E-10
"	S1pr5",911.5816602,2.791346366,0.391225168,7.13488445,9.69E-13,2.31E-10
"	Cd244",38.55617269,-4.134549265,0.580636853,-7.120714514,1.07E-12,2.50E-10
"	Fyn",4477.055065,1.100888332,0.15468579,7.116932542,1.10E-12,2.53E-10
"	Rere",241.5192123,2.155686198,0.303209205,7.109567138,1.16E-12,2.61E-10
"	Fas",1234.777633,1.426157089,0.201271002,7.08575539,1.38E-12,3.05E-10
"	Atp8b4",2861.79485,-1.860817297,0.263656758,-7.057726537,1.69E-12,3.55E-10
"	Pydc3",1024.28599,1.559681144,0.220922221,7.059865409,1.67E-12,3.55E-10
"	Tcrg-C1",93.5978862,-3.436813485,0.487017384,-7.056859979,1.70E-12,3.55E-10
"	Ctss",2801.78881,1.720633072,0.246181006,6.989300671,2.76E-12,5.67E-10
"	Dnase1l3",40.06639107,3.606545812,0.516935859,6.976776223,3.02E-12,6.09E-10
"	Klf3",4054.359659,1.871881427,0.268843961,6.962705877,3.34E-12,6.51E-10
"	Tlr1",155.8340386,2.428147017,0.348619949,6.965026016,3.28E-12,6.51E-10
"	H2-Q10",716.9703181,-1.539616518,0.221676376,-6.945334223,3.78E-12,7.25E-10
"	Il2",173.7996003,3.192717324,0.460209166,6.937535275,3.99E-12,7.54E-10
"	1810041H14Rik",586.1018621,1.736422537,0.251307835,6.909543985,4.86E-12,9.04E-10
"	Sh2d1a",14860.06492,0.956319588,0.139105276,6.874790198,6.21E-12,1.14E-09
"	Chst11",173.6261011,-2.176890743,0.317176145,-6.86334953,6.73E-12,1.21E-09
"	Tox2",35.37789617,3.286398107,0.481370925,6.827163696,8.66E-12,1.54E-09
"	Gcnt1",91.4696524,-2.874553498,0.42153547,-6.819244646,9.15E-12,1.60E-09
"	H2-Ob",231.3137623,3.305347167,0.488931959,6.760341808,1.38E-11,2.37E-09
"	Slc2a3",795.5626097,-1.108146821,0.164404181,-6.740381034,1.58E-11,2.69E-09
"	Dus2",679.8317509,1.31572029,0.195330915,6.735852799,1.63E-11,2.73E-09
"	Dhrs3",70.22830238,3.393006363,0.510147478,6.651030359,2.91E-11,4.81E-09
"	Smox",49.65349952,3.336152262,0.504278775,6.615690424,3.70E-11,6.03E-09
"	Tomm5",4327.161987,-0.741005922,0.112333993,-6.596453156,4.21E-11,6.77E-09
"	As3mt",1358.77029,1.529800619,0.240436316,6.362602137,1.98E-10,3.15E-08
"	Gmfg",16632.18328,1.065817217,0.167831811,6.350507773,2.15E-10,3.36E-08
"	Pde6d",610.5375458,1.630832431,0.256975986,6.346244483,2.21E-10,3.41E-08
"	Ncald",477.2820966,-1.47285902,0.232296482,-6.340427588,2.29E-10,3.50E-08
"	Mxd4",425.7831117,2.281827575,0.360206439,6.334777302,2.38E-10,3.58E-08
"	Gm19705",157.2526012,1.98847555,0.315388802,6.304838783,2.88E-10,4.29E-08
"	Samd3",392.5847639,2.309281536,0.366478293,6.301277808,2.95E-10,4.34E-08
"	Btg1",6951.629191,1.535962643,0.245432701,6.258182539,3.89E-10,5.65E-08
"	Prkcq",1778.015766,0.94607619,0.152902956,6.187429032,6.12E-10,8.77E-08
"	2310001H17Rik",3500.06696,1.290930371,0.208718814,6.18502158,6.21E-10,8.80E-08
"	1500009L16Rik",2805.736166,-2.549058551,0.412911945,-6.173370812,6.68E-10,9.36E-08
"	Parp3",217.1796358,1.763684624,0.287784559,6.128489418,8.87E-10,1.23E-07
"	Klk1b27",71.2777866,4.029064218,0.657898721,6.12414052,9.12E-10,1.25E-07
"	Ifit1",896.366732,1.902161175,0.31084943,6.119236494,9.40E-10,1.26E-07
"	Prf1",838.1433595,-1.463537177,0.239176166,-6.119076164,9.41E-10,1.26E-07
"	Tmem108",54.28924196,2.693972823,0.441090374,6.107530291,1.01E-09,1.34E-07
"	Cotl1",897.9498793,1.643321949,0.270212889,6.081582407,1.19E-09,1.56E-07
"	Sepp1",657.6643883,1.628772123,0.267968938,6.078212395,1.22E-09,1.57E-07
"	Sostdc1",12.13358587,4.348566662,0.715905172,6.074221602,1.25E-09,1.59E-07
"	Klrb1f",530.1177398,2.020900037,0.333082381,6.067267898,1.30E-09,1.63E-07
"	Ms4a6c",211.70065,1.437943068,0.236996293,6.067365233,1.30E-09,1.63E-07
"	Trim12a",836.2219776,1.391950015,0.229519198,6.064634361,1.32E-09,1.64E-07
"	Zfp318",266.9436804,1.665908943,0.276162161,6.032357715,1.62E-09,1.98E-07
"	Gm13139",80.20335073,-2.618305574,0.435015194,-6.018883038,1.76E-09,2.13E-07
"	6330403K07Rik",160.8529537,2.691676771,0.448017584,6.00797126,1.88E-09,2.24E-07
"	Dennd2d",1418.598489,0.919370497,0.15302168,6.008106163,1.88E-09,2.24E-07
"	Trerf1",158.5476863,1.904840867,0.320090024,5.950953564,2.67E-09,3.14E-07
"	Tnfaip3",1849.04481,0.884615085,0.14934478,5.923307678,3.16E-09,3.68E-07
"	Gm28809",241.5133468,2.131824425,0.361388348,5.898984947,3.66E-09,4.19E-07
"	Mt2",463.5532463,-2.126811493,0.360555579,-5.898706371,3.66E-09,4.19E-07
"	Tespa1",920.5354344,1.905273837,0.32423678,5.876180469,4.20E-09,4.76E-07
"	Iigp1",150.9411782,1.974402376,0.337383974,5.852092958,4.85E-09,5.45E-07
"	Rasgrp1",2136.958534,1.067452962,0.183335491,5.822402188,5.80E-09,6.45E-07
"	Ephx1",68.05558837,2.636613242,0.453350593,5.815837196,6.03E-09,6.65E-07
"	Tmem171",62.1177944,-3.307910916,0.5695482,-5.807956054,6.32E-09,6.90E-07
"	Anxa1",8242.255919,-1.574311793,0.271696516,-5.794376085,6.86E-09,7.42E-07
"	Arhgef3",2274.698903,1.055973665,0.182496842,5.786257204,7.20E-09,7.71E-07
"	Arntl",572.1634729,0.981860487,0.170043429,5.77417484,7.73E-09,8.22E-07
"	Rassf2",571.137676,1.494626768,0.260011586,5.748308328,9.01E-09,9.49E-07
"	Mgrn1",127.9437422,2.075297578,0.362325766,5.727711836,1.02E-08,1.06E-06
"	Tmem2",315.6045919,1.572139296,0.274554054,5.726155825,1.03E-08,1.06E-06
"	Gm15518",104.4088538,-1.880408978,0.329079548,-5.714147207,1.10E-08,1.13E-06
"	Capn3",46.313148,2.707150441,0.474507505,5.705179391,1.16E-08,1.18E-06
"	Gm13154",144.1816208,2.456236946,0.430601159,5.70420421,1.17E-08,1.18E-06
"	Plekha1",201.2707019,2.076590397,0.364432788,5.698143707,1.21E-08,1.21E-06
"	Zeb2",1022.561154,2.05230985,0.362090729,5.667943651,1.45E-08,1.43E-06
"	Nfkbia",2011.277456,1.073647231,0.189936373,5.652667864,1.58E-08,1.55E-06
"	Cnbd2",42.43388816,2.467366984,0.43786877,5.634946256,1.75E-08,1.71E-06
"	Tnfrsf26",1029.422675,1.547429798,0.274941533,5.628214058,1.82E-08,1.76E-06
"	Gbp9",666.9880012,1.17625882,0.210047575,5.599963809,2.14E-08,2.06E-06
"	Fam117a",523.7313429,1.605863481,0.287641322,5.582867829,2.37E-08,2.25E-06
"	Bcl6",95.32597438,2.308840796,0.413965086,5.577380493,2.44E-08,2.31E-06
"	Tcp11l2",907.5141442,1.28595672,0.230921344,5.568808405,2.56E-08,2.40E-06
"	Dzip1",138.3453839,2.339383149,0.422148091,5.541617259,3.00E-08,2.79E-06
"	Dpy19l3",289.2666441,1.66083227,0.300768779,5.521957028,3.35E-08,3.09E-06
"	Klrk1",9397.230217,-1.502434634,0.272605062,-5.511396684,3.56E-08,3.23E-06
"	Ptpn4",1501.438292,-0.755582418,0.13707567,-5.512155562,3.54E-08,3.23E-06
"	Nod1",815.6075254,1.308426444,0.237640608,5.505904286,3.67E-08,3.31E-06
"	Gm13157",540.8516043,-1.311803704,0.238897862,-5.491065055,4.00E-08,3.56E-06
"	Mndal",4438.211249,0.64345312,0.117194721,5.490461626,4.01E-08,3.56E-06
"	Cd200r1",149.2745714,2.139885228,0.390413165,5.481078561,4.23E-08,3.73E-06
"	Epsti1",8648.95956,0.811214959,0.148748749,5.453591817,4.94E-08,4.32E-06
"	Wdr95",1026.957524,-2.113979823,0.390102976,-5.419030236,5.99E-08,5.20E-06
"	Nebl",547.3132539,-1.455110672,0.268674742,-5.415881898,6.10E-08,5.26E-06
"	Serpinb5",10.60934558,3.910371484,0.722657727,5.411097589,6.26E-08,5.36E-06
"	Rhoh",1444.980372,0.988607256,0.182892843,5.405390601,6.47E-08,5.50E-06
"	Ccdc28b",246.6316682,1.638258553,0.303414166,5.399413524,6.69E-08,5.64E-06
"	Cd200",105.2088017,1.525328947,0.282591234,5.397651309,6.75E-08,5.66E-06
"	Cx3cr1",1147.782306,1.306387609,0.242126323,5.395479482,6.83E-08,5.69E-06
"	Ifnar2",632.1722054,1.153635695,0.214318509,5.382809454,7.33E-08,6.02E-06
"	Kctd2",338.0393268,1.135631402,0.210966574,5.382992103,7.33E-08,6.02E-06
"	Vsir",1547.762728,0.963480228,0.179246062,5.375182124,7.65E-08,6.23E-06
"	Galnt3",490.5575213,-1.730628866,0.325505257,-5.316746279,1.06E-07,8.55E-06
"	Adam8",123.9799886,-2.24773867,0.423099516,-5.312553156,1.08E-07,8.69E-06
"	Dusp22",289.6447877,-1.158034346,0.218284042,-5.305171805,1.13E-07,8.99E-06
"	Inpp1",1084.143038,0.790435953,0.149206271,5.297605428,1.17E-07,9.31E-06
"	Tox",557.6954388,1.596246938,0.302062942,5.284484515,1.26E-07,9.93E-06
"	BE692007",2743.564141,0.915962951,0.173681328,5.273813615,1.34E-07,1.05E-05
"	Snhg5",921.0707249,-0.895391217,0.169860142,-5.271343878,1.35E-07,1.05E-05
"	BC147527",714.587375,1.557990252,0.295789326,5.267229457,1.38E-07,1.07E-05
"	Eva1b",449.2520009,1.613523171,0.307470777,5.247728538,1.54E-07,1.18E-05
"	2010016I18Rik",105.6908065,1.915957286,0.365688732,5.239311795,1.61E-07,1.23E-05
"	H2-K1",29383.75521,0.64599328,0.123377527,5.235907173,1.64E-07,1.24E-05
"	Gnl3",1353.244517,-0.947224974,0.181336708,-5.223569915,1.76E-07,1.32E-05
"	AA467197",493.9310325,-1.920851957,0.368790848,-5.20851309,1.90E-07,1.42E-05
"	Gsto1",580.5870553,-1.312769122,0.25254633,-5.198131849,2.01E-07,1.50E-05
"	Wnt3",11.14775145,3.53645569,0.681261562,5.191039517,2.09E-07,1.55E-05
"	Nipa2",1682.055832,-0.771012869,0.148647707,-5.186846688,2.14E-07,1.57E-05
"	Itpr2",345.5190788,1.948259772,0.377142683,5.165842685,2.39E-07,1.75E-05
"	G6pc3",145.1542717,-1.434155897,0.279627276,-5.128812598,2.92E-07,2.12E-05
"	Cmya5",66.71841298,2.247070253,0.438787922,5.121085015,3.04E-07,2.19E-05
"	Fam65b",4057.092057,0.612285904,0.119791219,5.111275333,3.20E-07,2.29E-05
"	Epas1",343.3701056,-1.511392588,0.295803655,-5.109445273,3.23E-07,2.30E-05
"	Rsad2",126.4734405,2.605464305,0.510574362,5.10300653,3.34E-07,2.37E-05
"	Mylip",619.8196146,1.957993816,0.384028202,5.098567778,3.42E-07,2.41E-05
"	Ndufaf4",1571.903193,-0.990106891,0.194515284,-5.090123864,3.58E-07,2.50E-05
"	Izumo1r",46.08514859,2.720181495,0.535135599,5.083163034,3.71E-07,2.58E-05
"	Bcl2",560.0975581,1.171883178,0.230649474,5.080797088,3.76E-07,2.58E-05
"	Dleu2",1016.841927,0.986316943,0.194097265,5.081560247,3.74E-07,2.58E-05
"	Mbp",885.5682988,0.822778502,0.162035593,5.077763998,3.82E-07,2.61E-05
"	Trim30d",483.6484416,1.377695335,0.271429527,5.075701783,3.86E-07,2.62E-05
"	Timp2",135.9002754,1.964995748,0.387354396,5.07286291,3.92E-07,2.65E-05
"	Fam46c",632.9512142,1.188986887,0.235470291,5.049413597,4.43E-07,2.98E-05
"	Itgb1",9799.430213,0.839152136,0.166408023,5.042738459,4.59E-07,3.07E-05
"	Casp4",1260.621996,1.145091667,0.227563248,5.031971006,4.85E-07,3.23E-05
"	Kbtbd11",650.8910345,1.556217008,0.309368746,5.030298082,4.90E-07,3.24E-05
"	Itgal",9134.86551,0.651795806,0.129645053,5.027540911,4.97E-07,3.27E-05
"	Plagl1",32.57872987,2.73628149,0.544854515,5.022040593,5.11E-07,3.34E-05
"	Pnrc1",2241.051084,0.627472429,0.124990309,5.020168644,5.16E-07,3.36E-05
"	Stk4",3550.374895,0.632855083,0.126089009,5.019113791,5.19E-07,3.36E-05
"	Lpgat1",572.2194999,-0.904440507,0.180271348,-5.017106241,5.25E-07,3.37E-05
"	Dtx1",541.2586913,1.331231807,0.265429338,5.015390607,5.29E-07,3.39E-05
"	Dancr",208.6939649,-1.49518171,0.298587512,-5.007515885,5.51E-07,3.49E-05
"	Gm4955",888.7568822,1.01958327,0.203573088,5.008438405,5.49E-07,3.49E-05
"	Fam3c",959.6318731,-0.928100234,0.185644005,-4.999354734,5.75E-07,3.62E-05
"	Ifit3b",50.14140606,2.731268514,0.546602946,4.99680533,5.83E-07,3.65E-05
"	Tmem41a",243.882475,-1.679319738,0.336770909,-4.986534448,6.15E-07,3.83E-05
"	Lpp",265.7067875,1.316560688,0.264676554,4.974224826,6.55E-07,4.06E-05
"	Pear1",108.9287688,1.933533517,0.389524013,4.963836507,6.91E-07,4.26E-05
"	Tle1",95.42962941,-1.919336824,0.38783924,-4.948794821,7.47E-07,4.58E-05
"	Pld4",97.25059756,2.429576765,0.491700377,4.94117328,7.77E-07,4.71E-05
"	Scarb2",498.8612621,0.928744051,0.187931853,4.941919311,7.74E-07,4.71E-05
"	Gbp8",1319.80484,0.930389304,0.188580846,4.933636289,8.07E-07,4.87E-05
"	Aco1",230.3866881,1.123143911,0.227885283,4.928549571,8.28E-07,4.98E-05
"	AB124611",444.1587867,1.0921619,0.222899299,4.899799622,9.59E-07,5.74E-05
"	Epb41l4aos",313.0653046,-1.197992632,0.244861779,-4.892526047,9.95E-07,5.92E-05
"	Dcp1b",344.4482189,1.254497253,0.256685966,4.887284143,1.02E-06,6.05E-05
"	Slfn1",2191.959003,1.623650571,0.333006276,4.875735644,1.08E-06,6.39E-05
"	Lilr4b",623.4792652,-2.337806608,0.480939519,-4.860916013,1.17E-06,6.85E-05
"	Ccm2",831.1882114,1.147117683,0.236230048,4.855934679,1.20E-06,6.99E-05
"	Rnpepl1",464.4372636,1.160149419,0.239020055,4.853774376,1.21E-06,7.03E-05
"	Sgms1",410.5364038,1.335005744,0.275126713,4.85233052,1.22E-06,7.05E-05
"	Adam19",1075.100725,-0.826812908,0.171468782,-4.82194426,1.42E-06,8.17E-05
"	Tspan5",217.1436409,1.265857567,0.263249106,4.808592076,1.52E-06,8.69E-05
"	Zfp36",614.0506044,1.065605792,0.222225968,4.795145239,1.63E-06,9.25E-05
"	Prkd2",558.4503588,0.914847962,0.190944655,4.791168225,1.66E-06,9.39E-05
"	Cxcl10",221.084254,1.957785207,0.410850149,4.765205058,1.89E-06,0.000106334
"	Hivep2",487.2097318,1.38480185,0.290659394,4.764345752,1.89E-06,0.000106334
"	Ppid",2657.93578,-0.853968753,0.179513408,-4.757130743,1.96E-06,0.000109687
"	Oasl2",56.1112003,2.489691392,0.523936959,4.751891137,2.02E-06,0.000112043
"	1700017B05Rik",300.7379069,-1.14763165,0.242307278,-4.736265696,2.18E-06,0.00012047
"	Senp7",993.6867246,0.75927492,0.160419767,4.733050887,2.21E-06,0.000121828
"	Klk15",7.539089678,3.517803409,0.743484391,4.731509431,2.23E-06,0.000122191
"	Il15",60.0691291,-2.617885495,0.553836616,-4.726819103,2.28E-06,0.000124473
"	Serpinb9",8103.162715,-1.215796985,0.258049674,-4.711484286,2.46E-06,0.000133605
"	Slc7a3",15.72738778,-2.751784316,0.584425724,-4.708527029,2.50E-06,0.000134941
"	Trib2",492.4221819,1.138427909,0.24300202,4.684849577,2.80E-06,0.000150833
"	Angptl2",13.42673392,3.18207764,0.682369033,4.663279671,3.11E-06,0.000166791
"	Vps50",446.8122306,-0.978353656,0.210063471,-4.657419254,3.20E-06,0.000170839
"	Gzmb",32626.56639,-1.575806509,0.339277129,-4.644599866,3.41E-06,0.000180986
"	St3gal6",2919.931229,-1.43733811,0.309600856,-4.642552123,3.44E-06,0.000181977
"	Sh2b3",184.6241833,1.85686057,0.400677585,4.634301095,3.58E-06,0.000188549
"	Bag2",120.7284033,-1.175238849,0.253764954,-4.631210221,3.64E-06,0.000190543
"	Nek7",2784.910737,0.621852523,0.13434623,4.628730728,3.68E-06,0.000191251
"	Pla2g16",4721.605426,0.93624009,0.202271719,4.628625766,3.68E-06,0.000191251
"	Rpl27",3553.576097,-0.637475624,0.137829189,-4.625113353,3.74E-06,0.000193675
"	Apobec2",1014.686681,1.599666407,0.346352216,4.618611727,3.86E-06,0.000198978
"	Rfk",1488.062843,-0.897709166,0.194606367,-4.612948591,3.97E-06,0.000203598
"	Bspry",179.3358011,-1.357279717,0.294504362,-4.60869138,4.05E-06,0.000206919
"	Smpdl3a",3424.758604,0.97513627,0.211723644,4.60570323,4.11E-06,0.000209015
"	Crebrf",783.0833188,0.953813283,0.207818522,4.589645214,4.44E-06,0.000224796
"	Pde8a",145.3810616,1.113940836,0.242979854,4.584498749,4.55E-06,0.000229428
"	Tesc",163.6083269,1.738622162,0.37943813,4.58209659,4.60E-06,0.000231101
"	Cycs",5891.92778,-0.607107338,0.132555765,-4.580014604,4.65E-06,0.000232433
"	Snx2",3479.646821,0.873848492,0.191141275,4.571741474,4.84E-06,0.000239788
"	Ssh2",713.3905588,0.838953245,0.183502151,4.571898701,4.83E-06,0.000239788
"	Rsl1d1",4356.620859,-0.896197117,0.196243712,-4.566755839,4.95E-06,0.000244541
"	A630023P12Rik",41.27672999,2.958538922,0.64805318,4.565271823,4.99E-06,0.00024526
"	Magohb",2063.198487,-1.064582697,0.233242622,-4.56427169,5.01E-06,0.000245418
"	Pkp4",557.8153664,0.991400289,0.217295718,4.562447429,5.06E-06,0.000246546
"	Capn2",2078.296772,0.949467079,0.208283725,4.558527455,5.15E-06,0.000250167
"	Gm44293",9.421283994,3.248471037,0.713878421,4.550454168,5.35E-06,0.000258904
"	Slc43a1",76.74039524,2.792332678,0.613833154,4.549009219,5.39E-06,0.000259632
"	Ttc39c",524.9343342,1.182274348,0.260561345,4.537412663,5.69E-06,0.000273216
"	Amica1",450.0452573,-1.754269028,0.388020567,-4.521072271,6.15E-06,0.00029282
"	Aunip",63.71901919,-2.11159155,0.467035571,-4.521264934,6.15E-06,0.00029282
"	Nfkbiz",1592.375422,0.946014221,0.209301812,4.519856821,6.19E-06,0.000293333
"	Hmgn3",138.2877694,1.520764929,0.336563173,4.518512578,6.23E-06,0.00029403
"	Sfxn3",622.3416729,1.050232375,0.233436635,4.499004081,6.83E-06,0.000319806
"	Sytl3",517.9663382,0.968338351,0.215208962,4.499526138,6.81E-06,0.000319806
"	Spo11",79.88525903,1.498991879,0.333486966,4.494903946,6.96E-06,0.000324752
"	Icos",10687.8856,1.313308932,0.292400987,4.491465459,7.07E-06,0.000327472
"	Slc19a1",121.5622624,-1.303643018,0.290244119,-4.491539816,7.07E-06,0.000327472
"	Zap70",1438.670746,0.665290889,0.14816457,4.490215762,7.12E-06,0.000328122
"	Reep3",746.2740351,0.766636849,0.171259541,4.476462122,7.59E-06,0.000348626
"	Trim30a",4209.002672,0.794407854,0.177861461,4.466441735,7.95E-06,0.000363948
"	Sec14l1",367.7976826,0.886073432,0.199470151,4.442135467,8.91E-06,0.000406038
"	Ifi203",5152.806357,0.69934948,0.157810645,4.431573557,9.35E-06,0.000423206
"	Trim36",38.68689595,-1.920889875,0.433382316,-4.432321767,9.32E-06,0.000423206
"	Gm37004",581.3997808,1.109943427,0.250509797,4.430738596,9.39E-06,0.000423239
"	Runx3",1850.428272,1.082893386,0.245051424,4.419045469,9.91E-06,0.00044511
"	Lpin1",1062.802396,0.962155649,0.217993227,4.413695153,1.02E-05,0.000454544
"	Platr17",170.7524809,1.670908757,0.37870682,4.412143298,1.02E-05,0.0004561
"	Il10",37.05912456,2.478303762,0.562369981,4.406891988,1.05E-05,0.000465551
"	Trim8",501.4111804,0.935527349,0.212457234,4.403367836,1.07E-05,0.000471423
"	5730508B09Rik",696.2520699,-1.298789709,0.295115744,-4.400950263,1.08E-05,0.000474941
"	Lef1",1413.145389,0.94320374,0.214717361,4.392768882,1.12E-05,0.000491357
"	Creb3l2",65.82599195,1.822078543,0.415910299,4.380941147,1.18E-05,0.000516897
"	Id2",52225.51403,-0.921994716,0.210581801,-4.378320983,1.20E-05,0.000521233
"	Ccbl2",54.64062907,-1.956703099,0.447090307,-4.376527672,1.21E-05,0.000522398
"	Ubxn11",322.7781723,1.552746313,0.354812646,4.376242867,1.21E-05,0.000522398
"	Armc7",536.0731287,0.890851081,0.203729353,4.37271835,1.23E-05,0.000528982
"	Bnip3l",2051.8928,0.63000897,0.144123238,4.371321235,1.23E-05,0.000530457
"	C230096K16Rik",50.58809291,2.385026059,0.546062349,4.36768084,1.26E-05,0.000537434
"	Pqlc1",174.3407204,-0.980946967,0.225121791,-4.357405666,1.32E-05,0.000561267
"	Rtp4",3833.372932,1.278520947,0.293816192,4.351431201,1.35E-05,0.000574723
"	Ablim1",3499.984096,0.731754475,0.168394117,4.345487178,1.39E-05,0.000588409
"	Polr3k",10335.50232,-0.895328652,0.206377748,-4.338300321,1.44E-05,0.000605823
"	Cpeb2",201.9043196,1.562276942,0.360220251,4.337004757,1.44E-05,0.00060725
"	Mx1",417.2027524,1.166681574,0.269140444,4.334843015,1.46E-05,0.000611089
"	Btbd11",209.5068447,1.539137904,0.355125877,4.334062945,1.46E-05,0.000611108
"	Gbp2",1152.235557,0.785257806,0.181482807,4.326899167,1.51E-05,0.000629109
"	Prss30",58.85693188,-1.90445506,0.440304592,-4.325312734,1.52E-05,0.000631446
"	Il7r",1630.413365,-1.268932186,0.293622536,-4.321644393,1.55E-05,0.000639809
"	Asns",173.3736406,-1.652426322,0.383106953,-4.313224565,1.61E-05,0.000662379
"	Hpcal1",845.8153737,1.489270918,0.345357356,4.31226059,1.62E-05,0.00066298
"	Borcs7",2598.07513,0.72192357,0.167639427,4.306406817,1.66E-05,0.000675095
"	Cd5",1285.575342,0.835236782,0.194005387,4.305224692,1.67E-05,0.000675095
"	Gimap1os",1360.00612,0.673793456,0.156499473,4.305403991,1.67E-05,0.000675095
"	Snrk",164.4035623,1.16034204,0.269473064,4.305966699,1.66E-05,0.000675095
"	Trp53inp1",1139.319209,1.790971975,0.41645057,4.300563145,1.70E-05,0.000687118
"	Cdh17",43.21324609,-2.254212849,0.524609918,-4.296931435,1.73E-05,0.000693764
"	Dennd4a",757.5859367,-0.902155006,0.209950645,-4.296986106,1.73E-05,0.000693764
"	Ptprk",247.2684332,-1.685035734,0.392703809,-4.290856611,1.78E-05,0.000710627
"	Maoa",43.12562827,-1.514633939,0.353288151,-4.287248058,1.81E-05,0.00071985
"	Kdm7a",462.4850121,0.938160712,0.21916972,4.280521558,1.86E-05,0.000739484
