acc,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,organ,Organism,Platform,pre-transfer_matched_sample,ReleaseDate,sample_acc,Sample Name,sorting_markers,source_name,SRA Study,stimulation
SRR10108588,RNA-Seq,149,1901362440,PRJNA565249,SAMN12739247,836351919,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840486,GSM4077724,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1901,797,Lung Airway,Mus musculus,ILLUMINA,SPL_PreTransfer_rep4,2020-01-09T00:00:00Z,SRS5380820,GSM4077724,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108589,RNA-Seq,149,1910236492,PRJNA565249,SAMN12739246,848953453,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840487,GSM4077725,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1910,809,Lung Airway,Mus musculus,ILLUMINA,SPL_PreTransfer_rep4,2020-01-09T00:00:00Z,SRS5380821,GSM4077725,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108590,RNA-Seq,149,2182847382,PRJNA565249,SAMN12739245,951638773,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840488,GSM4077726,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2182,907,Lung Airway,Mus musculus,ILLUMINA,BAL_Pre_InVitro_rep1,2020-01-09T00:00:00Z,SRS5380822,GSM4077726,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108591,RNA-Seq,149,1695022926,PRJNA565249,SAMN12739244,744519682,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840489,GSM4077727,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1695,710,Lung Airway,Mus musculus,ILLUMINA,BAL_Pre_InVitro_rep2,2020-01-09T00:00:00Z,SRS5380823,GSM4077727,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108592,RNA-Seq,149,1952665132,PRJNA565249,SAMN12739242,852065742,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840490,GSM4077728,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1952,812,Lung Airway,Mus musculus,ILLUMINA,BAL_Pre_InVitro_rep3,2020-01-09T00:00:00Z,SRS5380824,GSM4077728,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108593,RNA-Seq,149,1811968317,PRJNA565249,SAMN12739240,791216285,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840491,GSM4077729,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1811,754,Lung Airway,Mus musculus,ILLUMINA,BAL_Pre_InVitro_rep1,2020-01-09T00:00:00Z,SRS5380825,GSM4077729,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108594,RNA-Seq,149,1531097254,PRJNA565249,SAMN12739239,670501354,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840492,GSM4077730,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1531,639,Lung Airway,Mus musculus,ILLUMINA,BAL_Pre_InVitro_rep2,2020-01-09T00:00:00Z,SRS5380826,GSM4077730,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108595,RNA-Seq,149,1269994032,PRJNA565249,SAMN12739273,557430388,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840493,GSM4077731,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1269,531,Lung Airway,Mus musculus,ILLUMINA,BAL_Pre_InVitro_rep3,2020-01-09T00:00:00Z,SRS5380827,GSM4077731,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108596,RNA-Seq,149,1824841466,PRJNA565249,SAMN12739272,797979491,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840494,GSM4077732,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1824,761,Spleen,Mus musculus,ILLUMINA,SPL_Pre_InVitro_rep2,2020-01-09T00:00:00Z,SRS5380828,GSM4077732,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells cultured in vitro in complete media for 48 hours,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108597,RNA-Seq,149,1978359649,PRJNA565249,SAMN12739271,866420551,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840495,GSM4077733,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1978,826,Spleen,Mus musculus,ILLUMINA,SPL_PreTransfer_rep2,2020-01-09T00:00:00Z,SRS5380829,GSM4077733,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells cultured in vitro in complete media for 48 hours,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108598,RNA-Seq,149,1709884592,PRJNA565249,SAMN12739269,748311612,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840496,GSM4077734,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1709,713,Spleen,Mus musculus,ILLUMINA,SPL_Pre_InVitro_rep1,2020-01-09T00:00:00Z,SRS5380830,GSM4077734,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells cultured in vitro in complete media for 48 hours,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108599,RNA-Seq,149,1587070530,PRJNA565249,SAMN12739268,695887358,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840497,GSM4077735,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1587,663,Spleen,Mus musculus,ILLUMINA,NA,2020-01-09T00:00:00Z,SRS5380831,GSM4077735,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells FACS sorted for RNA before in vitro cuture,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108600,RNA-Seq,149,1793686608,PRJNA565249,SAMN12739267,784188621,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840498,GSM4077736,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1793,747,Spleen,Mus musculus,ILLUMINA,NA,2020-01-09T00:00:00Z,SRS5380832,GSM4077736,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells FACS sorted for RNA before in vitro cuture,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108601,RNA-Seq,149,1321880499,PRJNA565249,SAMN12739300,582362841,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840469,GSM4077737,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1321,555,Spleen,Mus musculus,ILLUMINA,NA,2020-01-09T00:00:00Z,SRS5380803,GSM4077737,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells FACS sorted for RNA before in vitro cuture,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108602,RNA-Seq,149,1752968553,PRJNA565249,SAMN12739299,775511203,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840470,GSM4077738,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1752,739,Spleen,Mus musculus,ILLUMINA,NA,2020-01-09T00:00:00Z,SRS5380804,GSM4077738,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells FACS sorted for RNA before in vitro cuture,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108603,RNA-Seq,149,1864370732,PRJNA565249,SAMN12739298,812395660,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840471,GSM4077739,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1864,774,Lung Airway,Mus musculus,ILLUMINA,NA,2020-01-09T00:00:00Z,SRS5380805,GSM4077739,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells FACS sorted for RNA before in vitro culture,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108604,RNA-Seq,149,1646585022,PRJNA565249,SAMN12739297,719843987,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840472,GSM4077740,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1646,686,Lung Airway,Mus musculus,ILLUMINA,NA,2020-01-09T00:00:00Z,SRS5380806,GSM4077740,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells FACS sorted for RNA before in vitro culture,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108605,RNA-Seq,149,1825941692,PRJNA565249,SAMN12739302,800383659,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840473,GSM4077741,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1825,763,Lung Airway,Mus musculus,ILLUMINA,NA,2020-01-09T00:00:00Z,SRS5380807,GSM4077741,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells FACS sorted for RNA before in vitro culture,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108606,RNA-Seq,149,1821681815,PRJNA565249,SAMN12739301,802542358,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840474,GSM4077742,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1821,765,Lung Airway,Mus musculus,ILLUMINA,NA,2020-01-09T00:00:00Z,SRS5380808,GSM4077742,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Airway CD8 memory T cells FACS sorted for RNA before in vitro culture,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108578,RNA-Seq,149,1497218029,PRJNA565249,SAMN12739258,658112202,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6840476,GSM4077714,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1497,627,Peritoneum,Mus musculus,ILLUMINA,SPL_PreTransfer_rep2,2020-01-09T00:00:00Z,SRS5380810,GSM4077714,Live/Dead- CD8+ CD44hi FluNP366-374Db+ CD45.2+,Spleen CD8 memory T cells transferred into the peritoneum of congenic mice,SRP221511,"35 days post Influenza X31 infection, 2 days post-transfer"
