Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain_background,Tissue
SRR2097403,RNA-Seq,100,2728830700,PRJNA289626,SAMN03856367,936946067,Naive CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092428,Wild type,GSM1819922,None,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819922,Naïve CD8 T cells_spleen,SRP060705,C57BL/6,Spleen
SRR2097404,RNA-Seq,100,2682813400,PRJNA289626,SAMN03856358,919951935,Central memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092429,Wild type,GSM1819923,Lymphocytic Choriomeningitis Virus (LCMV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819923,LCMV central memory CD8 T cells_spleen,SRP060705,C57BL/6,Spleen
SRR2097405,RNA-Seq,100,3019490000,PRJNA289626,SAMN03856359,1034788681,Effector memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092430,Wild type,GSM1819924,Lymphocytic Choriomeningitis Virus (LCMV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819924,LCMV effector memory CD8 T cells_spleen,SRP060705,C57BL/6,Spleen
SRR2097406,RNA-Seq,100,2741742000,PRJNA289626,SAMN03856368,940124376,Effector memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092431,Wild type,GSM1819925,Lymphocytic Choriomeningitis Virus (LCMV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819925,LCMV effector memory CD8 T cells_liver,SRP060705,C57BL/6,Liver
SRR2097407,RNA-Seq,100,2698392000,PRJNA289626,SAMN03856369,923975334,Tissue-resident memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092432,Wild type,GSM1819926,Lymphocytic Choriomeningitis Virus (LCMV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819926,LCMV tissue-resident memory CD8 T cells_liver,SRP060705,C57BL/6,Liver
SRR2097408,RNA-Seq,100,2793808400,PRJNA289626,SAMN03856370,955958413,Tissue-resident memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092433,Wild type,GSM1819927,Lymphocytic Choriomeningitis Virus (LCMV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819927,LCMV tissue-resident memory CD8 T cells_gut,SRP060705,C57BL/6,Gut
SRR2097409,RNA-Seq,100,2671940200,PRJNA289626,SAMN03856371,921100557,Conventional nature killer cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092434,Wild type,GSM1819928,Lymphocytic Choriomeningitis Virus (LCMV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819928,LCMV conventional nature killer cells_liver,SRP060705,C57BL/6,Liver
SRR2097410,RNA-Seq,100,2563966500,PRJNA289626,SAMN03856372,879870252,Tissue-resident nature killer cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092435,Wild type,GSM1819929,Lymphocytic Choriomeningitis Virus (LCMV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819929,LCMV tissue-resident nature killer cells_liver,SRP060705,C57BL/6,Liver
SRR2097411,RNA-Seq,100,3052168700,PRJNA289626,SAMN03856373,1043971126,Nature killer T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092436,Wild type,GSM1819930,Lymphocytic Choriomeningitis Virus (LCMV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819930,LCMV nature killer T cells_liver,SRP060705,C57BL/6,Liver
SRR2097412,RNA-Seq,100,3005561800,PRJNA289626,SAMN03856318,1009392812,Naive CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092437,Wild type,GSM1819931,None,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819931,Naïve CD8 T cells_spleen,SRP060705,C57BL/6,Spleen
SRR2097413,RNA-Seq,100,3325424200,PRJNA289626,SAMN03856319,1111464649,Naive CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092438,Wild type,GSM1819932,None,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819932,Naïve CD8 T cells_spleen,SRP060705,C57BL/6,Spleen
SRR2097414,RNA-Seq,100,2855057500,PRJNA289626,SAMN03856320,953876081,Tissue-resident memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092439,Wild type,GSM1819933,Herpes Simplex Virus (HSV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819933,HSV tissue-resident memory CD8 T cells_skin,SRP060705,C57BL/6,Skin
SRR2097415,RNA-Seq,100,2773107700,PRJNA289626,SAMN03856321,922368862,Tissue-resident memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092440,Wild type,GSM1819934,Herpes Simplex Virus (HSV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819934,HSV tissue-resident memory CD8 T cells_skin,SRP060705,C57BL/6,Skin
SRR2097416,RNA-Seq,100,3047144700,PRJNA289626,SAMN03856322,1018757502,Central memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092441,Wild type,GSM1819935,Herpes Simplex Virus (HSV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819935,HSV central memory CD8 T cells_spleen,SRP060705,C57BL/6,Spleen
SRR2097417,RNA-Seq,100,3082130400,PRJNA289626,SAMN03856323,1040675240,Central memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092442,Wild type,GSM1819936,Herpes Simplex Virus (HSV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819936,HSV central memory CD8 T cells_spleen,SRP060705,C57BL/6,Spleen
SRR2097418,RNA-Seq,100,3234978600,PRJNA289626,SAMN03856324,1082235503,Effector memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092443,Wild type,GSM1819937,Herpes Simplex Virus (HSV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819937,HSV effector memory CD8 T cells_spleen,SRP060705,C57BL/6,Spleen
SRR2097419,RNA-Seq,100,2927458400,PRJNA289626,SAMN03856325,1000397021,Effector memory CD8 T cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1092444,Wild type,GSM1819938,Herpes Simplex Virus (HSV),Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-25T00:00:00Z,GSM1819938,HSV effector memory CD8 T cells_spleen,SRP060705,C57BL/6,Spleen
