gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
TREM2,-3.074230364,2.789618034,-4.499110044,1.65E-05,0.00375881,2.797533071
HCK,-4.142280566,4.34738624,-4.470562032,1.85E-05,0.004071881,2.694368652
ADM,-3.662935814,5.11002318,-4.469906937,1.85E-05,0.004071881,2.692006592
ZNF551,2.233927397,2.921343427,4.452239215,1.99E-05,0.004291259,2.628391938
MAFB,-3.694388503,4.134624072,-4.432323678,2.15E-05,0.004546704,2.556891258
SLCO2B1,-3.969485736,3.844531365,-4.428932077,2.18E-05,0.004546704,2.544736733
IFITM3,-2.606612544,5.608629316,-4.424629853,2.22E-05,0.004547608,2.529328024
C1QC,-3.93826723,4.514211867,-4.419432742,2.26E-05,0.004565836,2.510727992
VEGFA,-3.35900593,3.811588837,-4.412875155,2.32E-05,0.004609979,2.48728047
TNFSF13,-1.613315863,2.223753313,-4.403451599,2.41E-05,0.004652641,2.453627451
LYZ,-3.599333393,4.141238646,-4.402484776,2.42E-05,0.004652641,2.450177589
PILRA,-3.319282199,3.602329832,-4.365046886,2.80E-05,0.005306928,2.316994545
PCOLCE2,-3.243490857,2.648715694,-4.35127221,2.96E-05,0.005451511,2.268191311
SIRPA,-3.257897501,2.953603314,-4.350436521,2.97E-05,0.005451511,2.265233957
FCER1A,-2.958913581,2.305115704,-4.341255732,3.08E-05,0.005495743,2.232770926
MNDA,-3.388305775,3.478737159,-4.340486528,3.09E-05,0.005495743,2.230053222
UMPS,2.927315069,4.75009748,4.337153776,3.13E-05,0.005495743,2.218282028
ALDH2,-3.909045378,4.14980927,-4.316414422,3.39E-05,0.005806883,2.145173669
RBM44,1.094058784,1.796865353,4.315078194,3.41E-05,0.005806883,2.140471763
SERPINE1,-3.596179628,3.323529961,-4.312242578,3.45E-05,0.005806883,2.130497218
PLBD1,-3.497330306,3.438408655,-4.295438494,3.68E-05,0.006114685,2.071482018
ARHGAP18,-2.869841958,4.739285519,-4.289820316,3.76E-05,0.006166005,2.05178746
SRSF2,1.889761501,7.516510774,4.261958957,4.19E-05,0.006777117,1.954388662
CD14,-3.822526694,5.085206625,-4.242515266,4.51E-05,0.007122274,1.886683397
GAA,-3.241139068,5.745828122,-4.242327224,4.52E-05,0.007122274,1.886029685
RNASE6,-2.935327977,3.420486192,-4.224625142,4.84E-05,0.007461811,1.824582513
FCGR2B,-2.813885266,3.165670081,-4.22361769,4.85E-05,0.007461811,1.821090976
CTSD,-2.949427429,6.354895769,-4.217077981,4.98E-05,0.007556858,1.798440675
PTAFR,-3.450129172,3.521520325,-4.210939834,5.10E-05,0.007642331,1.777204003
IGSF6,-2.991047768,3.366105018,-4.202366183,5.27E-05,0.007720568,1.747578062
BHLHE41,-2.325656912,2.432396425,-4.201981456,5.27E-05,0.007720568,1.746249666
MRC1,-4.179598407,4.317999872,-4.193504884,5.45E-05,0.007880957,1.717003625
DAB2,-3.042507245,3.199802714,-4.190278696,5.51E-05,0.007885866,1.705883696
CD163,-4.821888479,5.346115173,-4.172308069,5.91E-05,0.008347967,1.644055592
RBM47,-2.756588154,2.737483018,-4.168170653,6.00E-05,0.008384082,1.629847849
PDK4,-4.500301301,4.190830546,-4.157775217,6.24E-05,0.008624027,1.594195113
PLAUR,-3.745927641,5.487045094,-4.149299818,6.45E-05,0.008784493,1.565174976
SRSF7,1.545174174,11.0778715,4.147061767,6.50E-05,0.008784493,1.557518932
NCF2,-3.584794522,3.85317786,-4.131749484,6.89E-05,0.009109952,1.505218025
EIF4EBP1,-2.30647124,4.993299098,-4.130634147,6.92E-05,0.009109952,1.501413934
CCL3L3,-3.549127512,4.331733853,-4.12737839,7.00E-05,0.009109952,1.490313748
MARCO,-4.183786429,5.16042505,-4.121062075,7.17E-05,0.009109952,1.468796993
PLXNB2,-2.937792917,2.930245863,-4.120628154,7.18E-05,0.009109952,1.467319703
DOK2,-1.542829063,8.576829142,-4.12034401,7.19E-05,0.009109952,1.466352392
TREM1,-3.387997874,3.240535987,-4.117449826,7.27E-05,0.009109952,1.456502486
CAPG,-2.659616493,6.942571719,-4.115167664,7.33E-05,0.009109952,1.448739047
ANPEP,-3.65634237,3.23026956,-4.100989514,7.74E-05,0.00951388,1.40057806
METAP1D,2.170049182,3.357254791,4.09562388,7.89E-05,0.009611806,1.38238339
ALDH1A1,-3.026487914,2.709089443,-4.072219926,8.62E-05,0.010391694,1.303224744
GSTM2,2.06667325,3.727738894,4.067459862,8.77E-05,0.010475943,1.287165472
C1QA,-4.338781222,5.669568375,-4.055692275,9.17E-05,0.010781433,1.247523611
GPD1,-2.296227782,2.233356173,-4.054634382,9.21E-05,0.010781433,1.243963978
CXCR5,1.329726299,2.506567069,4.051569731,9.31E-05,0.010794445,1.23365578
DNAJB4,-2.194271514,6.46116667,-4.04925985,9.39E-05,0.010794445,1.225890092
HEBP2,1.743926949,6.022332044,4.044745963,9.55E-05,0.010876188,1.210724051
GLIPR2,-2.421295544,6.47580753,-4.015533301,0.000106484,0.012014181,1.112874559
HMOX1,-3.919422885,5.051151847,-4.012795165,0.000107572,0.012026589,1.103729816
NAA16,2.51850424,5.5130868,4.003496036,0.000111347,0.012336435,1.07270728
SYK,-3.505194095,4.107527142,-3.997206448,0.000113971,0.012514454,1.051754955
QPCT,-2.94727694,3.187170808,-3.987982298,0.000117927,0.012834244,1.021070921
C1QB,-4.404027983,5.962160723,-3.969964022,0.000126036,0.013517002,0.96128503
ACP5,-2.866279346,4.786774031,-3.968338751,0.000126793,0.013517002,0.955902156
CXCL2,-3.706350565,4.108639232,-3.966834236,0.000127498,0.013517002,0.950920682
TYMP,-2.187251406,6.3630766,-3.947262796,0.000137013,0.014319313,0.886247514
PMP22,-2.808832782,3.062185409,-3.946504651,0.000137395,0.014319313,0.883747045
KCNK13,-1.094540586,1.76079023,-3.934846367,0.000143396,0.014790847,0.845341541
DPYSL2,-2.805688316,4.716569061,-3.93308517,0.000144324,0.014790847,0.839547068
HYI,1.113861369,2.084576541,3.927045424,0.000147551,0.014996548,0.819690569
MS4A4A,-3.398437594,3.954630748,-3.910221656,0.000156905,0.015816585,0.764500591
FPR3,-2.367737774,2.285309398,-3.903232916,0.000160955,0.015946015,0.741626434
SPI1,-3.060063405,3.661780396,-3.902595601,0.00016133,0.015946015,0.739542028
CSTA,-2.004553437,2.354690615,-3.901322962,0.000162079,0.015946015,0.735380496
SH3BP4,-2.004435996,2.047428536,-3.88793898,0.000170168,0.016608975,0.691676631
AARSD1,0.828077537,2.003744361,3.880667573,0.000174723,0.016919231,0.667980067
C15orf52,-1.16318072,1.942876242,-3.869577393,0.000181894,0.017476003,0.63190301
TGM2,-3.023807669,2.84086651,-3.847300273,0.000197154,0.018795309,0.559669861
LGALS1,-2.268849622,6.02954182,-3.832903997,0.000207655,0.019644182,0.513158197
CD9,-3.111526889,4.73624814,-3.827096628,0.00021204,0.019806007,0.494433123
MGST1,-3.079751954,3.114726159,-3.826380941,0.000212587,0.019806007,0.49212698
ANXA2,-1.907256915,8.451497155,-3.821471918,0.000216371,0.019929368,0.476317569
CXCL8,-3.915472632,4.394939623,-3.820469698,0.000217152,0.019929368,0.473091837
CD36,-2.942036143,3.248452205,-3.81411846,0.000222161,0.020238029,0.452664776
MSR1,-2.332580274,2.531290483,-3.80079727,0.000233026,0.021071685,0.409904782
ZNF726,1.214461846,2.33007931,3.793535483,0.000239159,0.021468467,0.386643042
ANKRA2,2.319770517,5.449135396,3.787774581,0.000244134,0.021756225,0.368213253
IGF2BP2,-0.989365588,1.775840282,-3.781688364,0.000249496,0.022074143,0.348765987
SIGLEC1,-2.533711301,2.598636052,-3.771439744,0.00025878,0.022731962,0.316072666
MRPL38,1.59338639,2.981448027,3.766237665,0.000263617,0.02277556,0.299503912
CDKN1A,-2.753296245,7.934801042,-3.765673404,0.000264146,0.02277556,0.297707777
PSAP,-1.771833309,10.18452647,-3.76413678,0.000265594,0.02277556,0.292817506
KMO,-1.844727535,2.202195533,-3.762985479,0.000266684,0.02277556,0.289154516
FTL,-1.894881192,12.82273566,-3.748098044,0.000281163,0.02384652,0.241865985
CPVL,-3.470658276,4.064881043,-3.743028811,0.000286262,0.024112632,0.225796906
GSN,-3.661067765,5.488621097,-3.735933621,0.000293545,0.024557931,0.203333784
TCEA3,2.128807736,3.760513271,3.732405809,0.000297231,0.024698329,0.192177064
GNLY,-3.948608041,5.804765728,-3.728187667,0.000301697,0.024901144,0.17884783
RNF217,-1.07487193,1.901530187,-3.72321136,0.000307047,0.025173771,0.163137744
TLR4,-2.740551249,2.74466406,-3.715950437,0.000315015,0.025656,0.140244211
CLEC4A,-1.839528821,2.557051323,-3.713939734,0.000317256,0.02566852,0.133910604
CD74,-2.34212183,10.63666856,-3.699273872,0.000334064,0.026715377,0.087794057
ZFP30,1.616121116,2.615892541,3.698869553,0.00033454,0.026715377,0.08652468
CPED1,-1.619352764,2.01309473,-3.689187919,0.00034611,0.027461046,0.056160888
MPZL2,-2.14164867,2.520612965,-3.68561762,0.000350472,0.027628868,0.044979182
AKR1C2,-2.432110174,2.300888101,-3.67859306,0.000359206,0.028069158,0.023003692
GPX3,-3.57464868,3.863332163,-3.677469847,0.000360622,0.028069158,0.019492872
AOC3,-2.557373323,2.412941683,-3.668499222,0.000372119,0.028781854,-0.008516685
HSP90AA1,-1.87089465,11.60787353,-3.663693443,0.00037842,0.029086283,-0.023500211
KCNE1,-1.216491036,1.835619896,-3.658737151,0.000385024,0.029410082,-0.03893701
HSPA8,-1.891927163,13.0957653,-3.65348875,0.000392136,0.029768456,-0.055265876
KYNU,-2.760000969,3.205250926,-3.65163181,0.000394682,0.029777922,-0.061038833
ADD2,1.770361305,2.600184604,3.64798422,0.000399729,0.029974801,-0.072372003
GPX1,-1.790252283,7.147153011,-3.638970044,0.000412464,0.030742344,-0.10034144
TFPI,-2.164941513,2.516358711,-3.635748359,0.000417108,0.030901202,-0.110324678
RAB32,-2.900160638,3.044490616,-3.631954621,0.000422641,0.031123553,-0.122071724
SERPINH1,-3.148086159,5.288354096,-3.628728043,0.0004274,0.031286709,-0.132055059
RHOC,-1.816303723,3.956587304,-3.616864426,0.00044534,0.032407053,-0.168702555
CD80,-2.250985966,2.828010141,-3.601496611,0.000469639,0.033974232,-0.216035032
RHOB,-1.922610789,5.595647376,-3.59148251,0.000486141,0.034962378,-0.246793139
SLC24A1,1.6656776,2.424205684,3.58372286,0.000499304,0.035700223,-0.270580483
PPARG,-2.835049039,3.095334378,-3.57994488,0.000505833,0.035889162,-0.282147307
ISCU,1.260304474,8.048599814,3.578825884,0.000507783,0.035889162,-0.285571431
RGS2,-1.790141724,9.898625102,-3.575053668,0.000514407,0.036149585,-0.297108189
GRINA,-1.852496627,3.953254445,-3.56924494,0.000524767,0.036502409,-0.314854586
HSD3B7,-1.514888453,2.153930268,-3.568913559,0.000525364,0.036502409,-0.315866311
FFAR4,-1.473142118,1.984831856,-3.552861203,0.00055506,0.038349005,-0.364786368
ALDH7A1,-1.506621054,2.257036396,-3.547961009,0.000564436,0.038591572,-0.379685183
KLHL29,1.395138614,2.198429435,3.547748005,0.000564847,0.038591572,-0.380332445
DSE,-2.449114981,3.607632915,-3.544306436,0.000571525,0.038832147,-0.390786167
ASAH1,-2.410647271,6.798604952,-3.527129878,0.000605987,0.040840704,-0.442839738
DUS4L,1.681083219,2.957884011,3.526286388,0.000607729,0.040840704,-0.445390776
LRRC25,-2.462886277,3.057134202,-3.51759682,0.000625949,0.041836559,-0.471643216
NDST1,-1.682287736,2.097371455,-3.510013365,0.00064227,0.042123876,-0.494511933
CTSB,-2.174262715,9.370963828,-3.50968941,0.000642976,0.042123876,-0.495487982
SLC31A1,-2.350229168,3.966106763,-3.509361832,0.000643691,0.042123876,-0.496474873
AXL,-2.295052953,3.297334871,-3.508278503,0.00064606,0.042123876,-0.499738087
IL1RN,-3.125957571,3.105538558,-3.506383109,0.000650225,0.042123876,-0.505445487
CST3,-3.347145547,5.412526254,-3.505024559,0.000653225,0.042123876,-0.509534836
PLAU,-2.173866213,2.65926321,-3.50457302,0.000654225,0.042123876,-0.510893727
MILR1,-2.087981768,2.576054491,-3.496354261,0.000672683,0.042801739,-0.535603483
GEMIN4,2.353838169,4.348047891,3.495511737,0.000674603,0.042801739,-0.53813393
MYO16,-1.380491629,2.011685811,-3.49460717,0.00067667,0.042801739,-0.540850177
SIGLEC7,-1.726202742,2.323692147,-3.49373226,0.000678675,0.042801739,-0.543476836
RETN,-1.53298877,2.204224296,-3.49092851,0.000685137,0.042988821,-0.551890746
CCNL1,1.560544297,9.761937616,3.482065123,0.000705948,0.043774208,-0.578453923
CATSPER1,-0.994961949,1.84138001,-3.481174803,0.000708071,0.043774208,-0.581119196
ISG15,-1.296166302,6.797501264,-3.481065439,0.000708332,0.043774208,-0.581446554
HIST1H2BI,-1.138295035,2.100588426,-3.47516747,0.000722554,0.044376833,-0.599088632
CD86,-2.726990885,3.362889678,-3.47404102,0.0007253,0.044376833,-0.602455369
PTGS2,-2.252120435,2.440671658,-3.469142302,0.000737359,0.044891315,-0.617086539
FCGR1A,-1.767145937,2.229492416,-3.46523091,0.000747123,0.045013561,-0.628756994
AASS,1.459879172,2.387068674,3.464134863,0.000749881,0.045013561,-0.632025391
SPARC,-2.971165105,3.23923065,-3.463949579,0.000750348,0.045013561,-0.632577825
POLR1C,2.040444573,5.5891629,3.461117665,0.000757522,0.045223324,-0.64101837
SNRPN,1.133031151,3.095164522,3.453223941,0.000777861,0.04613278,-0.664516549
RBP4,-2.207163154,2.420003174,-3.451400727,0.000782631,0.04613278,-0.669937821
SLC7A7,-2.762757829,3.535734576,-3.450875655,0.00078401,0.04613278,-0.671498684
S100A10,-1.238453104,8.272235651,-3.447645621,0.000792542,0.046247803,-0.6810963
UBC,-1.193173129,13.1702175,-3.447290481,0.000793486,0.046247803,-0.682151112
PRAM1,-1.942220397,2.531257013,-3.443901112,0.000802543,0.046554107,-0.692213601
NR4A1,-2.809012733,8.486081827,-3.442501309,0.000806312,0.046554107,-0.696367077
TMEM163,-1.226814843,1.899548383,-3.437190637,0.000820763,0.046651451,-0.712112521
ABCC3,-2.224794614,2.383418976,-3.436573103,0.000822459,0.046651451,-0.713942163
GORAB,2.451706897,4.514595623,3.43631278,0.000823175,0.046651451,-0.714713375
TMEM52B,-1.364701668,1.961653708,-3.435690547,0.000824889,0.046651451,-0.716556559
CARD9,-2.149373449,2.6233093,-3.434938214,0.000826965,0.046651451,-0.718784771
ITGAM,-2.575626646,3.346193164,-3.431878495,0.000835461,0.046915516,-0.727842818
ZGRF1,2.067472682,3.32622723,3.430283328,0.000839923,0.046951673,-0.732562611
LRMP,2.012308776,5.868352469,3.42447538,0.000856357,0.047630851,-0.749732331
ZACN,0.909347643,1.942947113,3.423265591,0.000859819,0.047630851,-0.753305823
MS4A6A,-3.064497587,5.050483811,-3.417290782,0.000877106,0.048370618,-0.770939423
AQP9,-2.393119448,2.69323016,-3.415673465,0.000881841,0.048414656,-0.775708392
MMP19,-3.23819548,3.483693611,-3.414093699,0.00088649,0.048453559,-0.780364882
SIGLEC14,-1.578452406,2.287307598,-3.410886249,0.000895999,0.048756603,-0.789813774
ANKRD18A,1.327418969,2.635550249,3.405669747,0.000911669,0.049103136,-0.80516591
ZNF460,2.211905923,4.213746269,3.404608294,0.000914889,0.049103136,-0.808287442
TXK,1.982869859,7.416734835,3.403847133,0.000917204,0.049103136,-0.810525393
SPR,-1.752130312,2.265826007,-3.401721045,0.000923701,0.049103136,-0.816774334
ZIK1,2.356299714,3.455092037,3.401204096,0.000925287,0.049103136,-0.818293261
FBP1,-3.046323423,4.666961968,-3.40086678,0.000926324,0.049103136,-0.819284281
SDC4,-2.146617797,2.818258961,-3.396897879,0.0009386,0.049467434,-0.830938796
GLUL,-2.067660905,8.807803063,-3.395520684,0.000942896,0.049467434,-0.834980308
C5orf63,1.986501492,3.778816849,3.394764127,0.000945263,0.049467434,-0.837199937
