SYMBOL,ENTREZID
Nr4a3,18124
Nr5a2,26424
Oat,18242
Ociad2,433904
Ocln,18260
Oit1,18300
Optn,71648
Osgin1,71839
Osr2,107587
P2ry10,78826
Padi2,18600
Pafah1b3,18476
Pak1,18479
Palld,72333
Palm,18483
Pard3,93742
Pard3b,72823
Pawr,114774
Pcdh1,75599
Pck1,18534
Pcsk5,18552
Pdcd1lg2,58205
Pde3a,54611
Pde5a,242202
Pde9a,18585
Pdgfa,18590
Pdk4,27273
Perp,64058
Phgr1,53906
Phlda1,21664
Pigr,18703
Pik3ap1,83490
Pik3c2b,240752
Pip5k1b,18719
Pkig,18769
Plac8,231507
Plekha6,240753
Plekhf1,72287
Plekhg3,263406
Plekhh1,211945
Plekhh3,217198
Plin2,11520
Plin2,101055843
Plpp2,50784
Pls1,102502
Plscr1,22038
Plxnb2,140570
Pmepa1,65112
Pmp22,18858
Pof1b,69693
Ppp1r1b,19049
Ppp1r3b,244416
Ppp2r2c,269643
Ppp3ca,19055
Prap1,22264
Prdm1,12142
Prkaa2,108079
Prlr,19116
Prodh,19125
Prr15l,217138
Prr5,109270
Prss32,69814
Ptgr1,67103
Ptms,69202
Ptprd,19266
Ptprf,19268
Ptprk,19272
Pwwp2b,101631
Pygl,110095
Qpct,70536
Qsox1,104009
Rab25,53868
Rai14,75646
Rassf6,73246
Rbm47,245945
Rbpj,19664
Rcbtb2,105670
Reep6,70335
Reg4,67709
Reps2,194590
Rgs1,50778
Rgs2,19735
Rhob,11852
Rhoc,11853
Rhou,69581
Rhpn2,52428
Rin2,74030
Ripk4,72388
Rnase4,58809
Rnd3,74194
Rnf128,66889
Rnf130,59044
Rnf186,66825
Rorc,19885
Rpl18-ps1,667100
Rpl21-ps3,432665
Rrad,56437
Rras2,66922
Rxra,20181
S100a16,67860
S100g,12309
Sash1,70097
Satb2,212712
Scamp1,107767
Scamp5,56807
Scin,20259
Sdc1,20969
Sdc4,20971
Sectm1b,58210
Sel1l3,231238
Sema4g,26456
Serinc2,230779
Serpinb1a,66222
Serpinb6a,20719
Serpinb6b,20708
Serpinb9,20723
Sgms2,74442
Sh2d4a,72281
Shroom2,110380
Shroom3,27428
Sik1,17691
Skil,20482
Slamf1,27218
Slamf7,75345
Slc1a1,20510
Slc25a25,227731
Slc27a2,26458
Slc2a3,20527
Slc31a1,20529
Slc39a4,72027
Slc3a2,17254
Slc41a2,338365
Slc44a1,100434
Slc44a3,213603
Slc4a4,54403
Slc5a1,20537
Slc7a8,50934
Slco2b1,101488
Smad6,17130
Smagp,207818
Smim22,432995
Smim24,72273
Smim3,106878
Snhg18,100616095
Snx7,76561
Snx9,66616
Socs2,216233
Sord,20322
Sort1,20661
Sox13,20668
Sox9,20682
Spats2,72572
Spink4,20731
Spint1,20732
Spred1,114715
Spry2,24064
Spsb1,74646
Sqrdl,59010
Src,20779
St14,19143
St6galnac2,20446
Stap2,106766
Stau2,29819
Stk32c,57740
Stom,13830
Ston2,108800
Sulf2,72043
Sult1d1,53315
Susd2,71733
Sytl2,83671
Tbx3,21386
Tcea3,21401
Tcf7l2,21416
Tex2,21763
Tff3,21786
Tgfbi,21810
Tgif1,21815
Tgm2,21817
Thrb,21834
Tigit,100043314
Tiparp,99929
Tjp1,21872
Tmcc3,319880
Tmem205,235043
Tmem236,625286
Tmem252,226040
Tmem30b,238257
Tmem45b,235135
Tmem51,214359
Tmem56,99887
Tmem98,103743
Tmprss2,50528
Tmprss4,214523
Tmtc2,278279
Tnfaip3,21929
Tnfrsf11a,21934
Tnfrsf1a,21937
Tnfrsf1b,21938
Tnfrsf9,21942
Tnfsf10,22035
Tnks1bp1,228140
Tns3,319939
Tob2,57259
Trim16,94092
Trim2,80890
Trim36,28105
Tsc22d1,21807
Tspan1,66805
Tspan15,70423
Tspan8,216350
Tubb2a,22151
Uaca,72565
Ube2c,68612
Ugt1a7c,394432
Ugt2b34,100727
Ugt2b35,243085
Usp2,53376
Vav3,57257
Vcl,22330
Vdr,22337
Vegfa,22339
Vps37b,330192
Wdfy3,72145
Wnk2,75607
Wwc1,211652
Xcl1,16963
Yap1,22601
Zcchc14,142682
Zfp683,100503878
Zfp703,353310
Zfp768,233890
